HAGRID	kingdom	phylum	class	order	family	genus	species	common_name	female_maturity_days	male_maturity_days	gestation_incubation_days	weaning_days	litter_clutch_size	litters_clutches_per_year	inter_litter_interbirth_interval	birth_weight_g	weaning_weight_g	adult_weight_g	growth_rate_recip_days	maximum_longevity_yrs	source	specimen_origin	sample_size	data_quality	imr_per_yr	mrdt_yrs	metabolic_rate_w	body_mass_g	temperature_k	references
00003	Animalia	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia pulicaria	Daphnia	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.19	NA	unknown	medium	acceptable	NA	NA	NA	NA	NA	129412951296
00005	Animalia	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila melanogaster	Fruit fly	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3	NA	captivity	large	acceptable	0.05	0.04	NA	NA	NA	22032475368692403e21
00006	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Apis	Apis mellifera	Honey bee	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	812	unknown	medium	acceptable	NA	NA	NA	NA	NA	6340740874180584e39
00008	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Cardiocondyla	Cardiocondyla obscurior	Cardiocondyla obscurior	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	1293	captivity	medium	acceptable	NA	NA	NA	NA	NA	1293
00009	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Lasius	Lasius niger	Black garden ant	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	411	unknown	medium	acceptable	NA	NA	NA	NA	NA	411813814
00010	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae	Pheidole	Pheidole dentata	Pheidole dentata	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4	1156	captivity	medium	questionable	NA	NA	NA	NA	NA	1156
00011	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Bicyclus	Bicyclus anynana	Squinting bush brown	15	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	811	wild	medium	acceptable	NA	NA	NA	NA	NA	418809811
00012	Animalia	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus	American lobster	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	2	wild	medium	acceptable	NA	NA	NA	NA	NA	213594
00015	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina bombina	Firebelly toad	1095	1095	NA	NA	190	NA	NA	NA	NA	NA	NA	20	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485525749
00016	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina orientalis	Oriental firebelly toad	NA	NA	NA	NA	148	NA	NA	NA	NA	NA	NA	15.8	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451525749
00017	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	Bombina variegata	Yellow-bellied toad	NA	NA	NA	NA	73	NA	NA	NA	NA	NA	NA	29	NA	captivity	medium	acceptable	NA	NA	NA	NA	NA	24525749
00018	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus americanus	American toad	910	910	8	NA	6000	NA	365	NA	NA	21.7667	NA	36	525	captivity	medium	acceptable	NA	NA	0.00829	21.6	288	37268426525749
00019	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus boreas	Western toad	1095	1095	6	NA	5200	NA	NA	NA	NA	NA	NA	11.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	437451526749
00020	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus canorus	Yosemite toad	1825	1460	11	NA	1750	NA	NA	NA	NA	NA	NA	15	503	wild	medium	acceptable	NA	NA	NA	NA	NA	503526749
00021	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus cognatus	Great plains toad	730	730	4	NA	11074	NA	NA	NA	NA	NA	NA	10.7	485	captivity	small	questionable	NA	NA	NA	NA	NA	485526749
00022	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus debilis	Green toad	NA	NA	NA	NA	1300	NA	NA	NA	NA	NA	NA	12.4	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451749
00023	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus hemiophrys	Canadian toad	730	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451528
00024	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus punctatus	Red-spotted toad	730	730	NA	NA	1500	NA	NA	NA	NA	NA	NA	11.3	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485749
00025	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus retiformis	Sonoran green toad	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	15.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451749
00026	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus terrestris	Southern toad	NA	NA	3	NA	3250	NA	NA	NA	NA	19.267	NA	10	451	captivity	medium	acceptable	NA	NA	0.00698	19.2	288	37451749
00027	Animalia	Chordata	Amphibia	Anura	Bufonidae	Atelopus	Atelopus varius	Veragoa stubfoot toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451
00028	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	Bufo bufo	Common European toad	1460	1460	NA	NA	NA	NA	NA	NA	NA	NA	NA	40	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	4515255261134
00029	Animalia	Chordata	Amphibia	Anura	Bufonidae	Incilius	Incilius alvarius	Colorado river toad	NA	1095	NA	NA	7750	NA	NA	NA	NA	NA	NA	15.4	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485749
00030	Animalia	Chordata	Amphibia	Anura	Bufonidae	Nectophrynoides	Nectophrynoides asperginis	Kihansi spray toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	990	captivity	medium	questionable	NA	NA	NA	NA	NA	990
00031	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	Peltophryne lemur	Ridge-headed toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.7	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00032	Animalia	Chordata	Amphibia	Anura	Bufonidae	Peltophryne	Peltophryne peltocephala	Cuban toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485
00033	Animalia	Chordata	Amphibia	Anura	Bufonidae	Pseudepidalea	Pseudepidalea viridis	European green toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.9	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451
00034	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhaebo	Rhaebo blombergi	Colombian giant toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28.7	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451
00035	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	Rhinella arenarum	Argentine toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	451525
00036	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	Rhinella marina	Cane toad	365	365	2	NA	10000	NA	NA	NA	NA	106.25	NA	24.8	485	captivity	large	acceptable	NA	NA	0.0303	105	293	37296485749
00037	Animalia	Chordata	Amphibia	Anura	Bufonidae	Rhinella	Rhinella schneideri	Eurura toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.1	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00038	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	Ceratophrys aurita	Common horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00039	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	Ceratophrys calcarata	Colombian horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15.9	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451
00040	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	Ceratophrys cornuta	Amazonian horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485749
00041	Animalia	Chordata	Amphibia	Anura	Ceratophryidae	Ceratophrys	Ceratophrys ornata	Ornate horned frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.7	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451
00042	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	Dendrobates auratus	Green and black dart-poison frog	365	365	12	NA	6	NA	NA	NA	NA	NA	NA	20.5	448	captivity	large	acceptable	NA	NA	NA	NA	NA	448749
00043	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	Dendrobates leucomelas	Yellow-banded poison frog	75	75	12	NA	7	NA	NA	NA	NA	NA	NA	11.5	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451749
00044	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Dendrobates	Dendrobates tinctorius	Blue poison-dart frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	large	low	NA	NA	NA	NA	NA	451
00045	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	Oophaga histrionica	Kokoe-pa poison dart frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.1	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451
00046	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Oophaga	Oophaga pumilio	Strawberry poison frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451
00047	Animalia	Chordata	Amphibia	Anura	Dendrobatidae	Phyllobates	Phyllobates vittatus	Golfo dulce poison-dart frog	304	304	15	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA	749
00048	Animalia	Chordata	Amphibia	Anura	Dicroglossidae	Hoplobatrachus	Hoplobatrachus occipitalis	African tigrine frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	48.1	NA	10.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451749
00049	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	Acris blanchardi	Blanchard's cricket frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	1096
00050	Animalia	Chordata	Amphibia	Anura	Hylidae	Acris	Acris crepitans	Northern cricket frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.9	485	captivity	small	questionable	NA	NA	NA	NA	NA	4857491096
00051	Animalia	Chordata	Amphibia	Anura	Hylidae	Agalychnis	Agalychnis callidryas	Red-eyed tree frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	large	low	NA	NA	NA	NA	NA	485
00052	Animalia	Chordata	Amphibia	Anura	Hylidae	Agalychnis	Agalychnis spurrelli	Maroon-eyed tree frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.5	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451
00053	Animalia	Chordata	Amphibia	Anura	Hylidae	Diaglena	Diaglena spatulata	Treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.8	451	captivity	tiny	acceptable	NA	NA	NA	NA	NA	451
00054	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla arborea	European tree frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00055	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla chrysoscelis	Cope's gray treefrog	730	547	21	NA	35	NA	NA	NA	NA	NA	NA	7.8	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485528749
00056	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla cinerea	Green treefrog	730	730	NA	NA	1222	NA	NA	NA	NA	NA	NA	NA	NA	unknown	medium	low	NA	NA	NA	NA	NA	485749
00057	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla gratiosa	Barking treefrog	NA	NA	NA	NA	2250	NA	NA	NA	NA	NA	NA	12.5	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451749
00058	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla japonica	Japanese treefrog	1278	1278	NA	NA	920	NA	NA	NA	NA	NA	NA	8.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451749
00059	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla squirella	Squirrel treefrog	NA	NA	1	NA	1000	1	NA	NA	NA	NA	NA	8.5	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485749
00060	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	Hyla versicolor	Gray treefrog	730	730	4	NA	1800	NA	NA	NA	NA	7.2	NA	7.8	543	captivity	medium	acceptable	NA	NA	0.00433	6.97	290.5	37528543749
00061	Animalia	Chordata	Amphibia	Anura	Hylidae	Hypsiboas	Hypsiboas rosenbergi	Rosenberg's treefrog	NA	NA	NA	NA	775	NA	NA	NA	NA	NA	NA	NA	NA	unknown	small	low	NA	NA	NA	NA	NA	485749
00062	Animalia	Chordata	Amphibia	Anura	Hylidae	Litoria	Litoria caerulea	Australian green treefrog	NA	NA	NA	NA	1100	NA	NA	NA	NA	NA	NA	20	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451749
00063	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	Osteopilus septentrionalis	Cuban treefrog	255	120	1	NA	1500	NA	NA	NA	NA	NA	NA	12.9	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451749
00064	Animalia	Chordata	Amphibia	Anura	Hylidae	Osteopilus	Osteopilus vastus	Hispaniola giant treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.6	451	captivity	small	questionable	NA	NA	NA	NA	NA	451
00065	Animalia	Chordata	Amphibia	Anura	Hylidae	Pachymedusa	Pachymedusa dacnicolor	Mexican leaf frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.7	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00066	Animalia	Chordata	Amphibia	Anura	Hylidae	Phyllomedusa	Phyllomedusa bicolor	Waxy treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.3	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451
00067	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudacris	Pseudacris crucifer	Spring peeper	912	912	10	NA	700	NA	NA	NA	NA	4	NA	NA	NA	unknown	small	low	NA	NA	0.00105	0.9	292	37451525528749
00068	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudis	Pseudis paradoxa	Paradox frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00069	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	Smilisca baudinii	Mexican treefrog	NA	NA	NA	NA	2480	NA	NA	NA	NA	NA	NA	6.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485749
00070	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	Smilisca fodiens	Lowland burrowing treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485
00071	Animalia	Chordata	Amphibia	Anura	Hylidae	Smilisca	Smilisca phaeota	Masked treefrog	NA	NA	NA	NA	2000	NA	NA	NA	NA	NA	NA	4.1	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485749
00072	Animalia	Chordata	Amphibia	Anura	Hylidae	Trachycephalus	Trachycephalus venulosus	Marbled treefrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.5	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00073	Animalia	Chordata	Amphibia	Anura	Leiopelmatidae	Ascaphus	Ascaphus truei	Coastal tailed frog	NA	NA	32	NA	62	NA	NA	NA	NA	NA	NA	14	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525749
00074	Animalia	Chordata	Amphibia	Anura	Leptodactylidae	Leptodactylus	Leptodactylus pentadactylus	Tungara frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.8	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451
00075	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	Mantella aurantiaca	Golden mantella	NA	NA	14	NA	40	NA	NA	NA	NA	NA	NA	10.9	451	captivity	large	acceptable	NA	NA	NA	NA	NA	451749
00076	Animalia	Chordata	Amphibia	Anura	Mantellidae	Mantella	Mantella expectata	Blue-legged mantella	365	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1060	wild	small	questionable	NA	NA	NA	NA	NA	1060
00077	Animalia	Chordata	Amphibia	Anura	Microhylidae	Gastrophryne	Gastrophryne carolinensis	Eastern narrow-mouthed toad	547	365	1	NA	722	NA	NA	NA	NA	NA	NA	6.8	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485528749
00078	Animalia	Chordata	Amphibia	Anura	Microhylidae	Kaloula	Kaloula pulchra	Malaysian narrowmouth toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485
00079	Animalia	Chordata	Amphibia	Anura	Microhylidae	Microhyla	Microhyla ornata	Ornate narrow-mouthed frog	547	182	NA	NA	NA	NA	NA	1125	NA	NA	NA	5	964	wild	small	acceptable	NA	NA	NA	NA	NA	964
00080	Animalia	Chordata	Amphibia	Anura	Microhylidae	Phrynomantis	Phrynomantis bifasciatus	Red-banded frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10.3	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451
00081	Animalia	Chordata	Amphibia	Anura	Microhylidae	Scaphiophryne	Scaphiophryne gottlebei	Rainbow frog	365	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1060	wild	small	questionable	NA	NA	NA	NA	NA	1060
00082	Animalia	Chordata	Amphibia	Anura	Pelobatidae	Pelobates	Pelobates fuscus	Common Eurasian spadefoot toad	NA	NA	8	NA	1740	NA	NA	NA	NA	NA	NA	11	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485749
00083	Animalia	Chordata	Amphibia	Anura	Petropedetidae	Conraua	Conraua goliath	Goliath frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.9	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451749
00084	Animalia	Chordata	Amphibia	Anura	Pipidae	Pipa	Pipa pipa	Surinam toad	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.7	485	captivity	medium	acceptable	NA	NA	NA	NA	NA	485749
00085	Animalia	Chordata	Amphibia	Anura	Pipidae	Xenopus	Xenopus laevis	African clawed frog	183	NA	2	NA	NA	NA	NA	NA	NA	130	NA	30.3	451	captivity	large	acceptable	NA	NA	0.012	63.6	288	10371964515266077e6
00086	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Pyxicephalus	Pyxicephalus adspersus	African bullfrog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	451	captivity	medium	acceptable	NA	NA	NA	NA	NA	451749
00087	Animalia	Chordata	Amphibia	Anura	Pyxicephalidae	Tomopterna	Tomopterna delalandii	Cape sand frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.3	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00088	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates catesbeianus	American bullfrog	1277	730	4	NA	NA	NA	NA	NA	NA	54.4	NA	16	485	captivity	medium	acceptable	NA	NA	0.0134	51.2	288	237485526528749
00089	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates clamitans	Green frog	730	730	NA	NA	4000	NA	NA	NA	NA	NA	NA	10	528	captivity	medium	acceptable	NA	NA	NA	NA	NA	528749
00090	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates pipiens	Northern leopard frog	730	365	NA	NA	4146	NA	NA	NA	NA	29.0222	NA	9	525	wild	medium	acceptable	NA	NA	0.00576	21.6	289.78	3742268525528749
00091	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates septentrionalis	Mink frog	730	547	NA	NA	2250	NA	NA	NA	NA	NA	NA	6	528	wild	medium	acceptable	NA	NA	NA	NA	NA	528749
00092	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates sylvaticus	Wood frog	912	547	NA	NA	900	NA	NA	NA	NA	7.88	NA	5	NA	unknown	medium	questionable	NA	NA	0.00416	7.8	289.8	3743289340528749
00093	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates virgatipes	Carpenter frog	NA	730	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485749
00094	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	Pelophylax lessonae	Pool frog	NA	NA	NA	NA	2420	NA	NA	NA	NA	NA	NA	6	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525749
00095	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	Pelophylax nigromaculatus	Black-spotted frog	730	730	NA	NA	2800	NA	NA	NA	NA	NA	NA	15	651	wild	medium	acceptable	NA	NA	NA	NA	NA	651749
00096	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	Pelophylax perezi	Italian green frog	912	912	6	NA	NA	NA	NA	NA	NA	NA	NA	6.8	650	captivity	small	acceptable	NA	NA	NA	NA	NA	525650749
00097	Animalia	Chordata	Amphibia	Anura	Ranidae	Pelophylax	Pelophylax ridibundus	Marsh frog	1460	1095	NA	NA	6835	NA	NA	NA	NA	NA	NA	11	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525749895
00098	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	Rana amurensis	Siberian wood frog	1640	1640	NA	NA	2125	NA	NA	NA	NA	NA	NA	9	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525749
00099	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	Rana arvalis	Moor frog	NA	NA	NA	NA	1750	NA	NA	NA	NA	NA	NA	11	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525749
00100	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	Rana aurora	California red-legged frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	15	503	wild	medium	acceptable	NA	NA	NA	NA	NA	5031150
00101	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	Rana esculenta	Edible frog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525
00102	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	Rana iberica	Iberian frog	NA	NA	NA	NA	318	NA	NA	NA	NA	NA	NA	8	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525749
00103	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	Rana macrocnemis	Long-legged wood frog	912	912	NA	NA	2040	NA	NA	NA	NA	NA	NA	5	525	wild	medium	acceptable	NA	NA	NA	NA	NA	525749
00104	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	Rana temporaria	European frog	1095	1095	NA	NA	2585	NA	NA	NA	NA	NA	NA	27	NA	unknown	medium	acceptable	NA	NA	NA	NA	NA	255255267491118
00105	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	Scaphiopus couchii	Couch's spadefoot	NA	NA	NA	NA	3000	NA	NA	NA	NA	NA	NA	6.7	485	captivity	small	questionable	NA	NA	NA	NA	NA	458485749
00106	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Scaphiopus	Scaphiopus holbrookii	Eastern spadefoot	730	730	8	NA	3872	NA	NA	NA	NA	NA	NA	12.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485528749
00107	Animalia	Chordata	Amphibia	Anura	Scaphiopodidae	Spea	Spea intermontana	Great Basin spadefoot	NA	NA	3	NA	676	NA	NA	NA	NA	NA	NA	20	437	wild	medium	acceptable	NA	NA	NA	NA	NA	437749
00108	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma gracile	Northwestern salamander	730	730	NA	NA	150	NA	NA	NA	NA	NA	NA	10.2	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485749
00109	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma mabeei	Mabee's salamander	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.8	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485
00110	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma macrodactylum	Long-toed salamander	730	730	40	NA	250	NA	NA	NA	NA	NA	NA	10	437	wild	medium	acceptable	NA	NA	NA	NA	NA	437749
00111	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma maculatum	Spotted salamander	1095	730	NA	NA	125	NA	NA	NA	NA	12.84	NA	32	NA	unknown	medium	acceptable	NA	NA	0.005	12.8	290	37528749
00112	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma mexicanum	Axolotl	548	548	18	NA	NA	NA	NA	NA	NA	NA	NA	17	451	captivity	large	acceptable	NA	NA	NA	NA	NA	449451749796843
00113	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma opacum	Marbled salamander	1296	1113	NA	NA	100	NA	NA	NA	NA	NA	NA	11.3	485	captivity	small	acceptable	NA	NA	NA	NA	NA	485528749
00114	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma rosaceum	Chihuahuan mole salamander	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14.4	451	captivity	small	acceptable	NA	NA	NA	NA	NA	451
00115	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma talpoideum	Mole salamander	730	730	NA	NA	350	NA	NA	NA	NA	NA	NA	9	749	unknown	medium	acceptable	NA	NA	NA	NA	NA	528749
00116	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma texanum	Small-mouthed salamander	NA	NA	35	NA	625	NA	NA	NA	NA	NA	NA	13.8	485	captivity	tiny	acceptable	NA	NA	NA	NA	NA	485749
00117	Animalia	Chordata	Amphibia	Caudata	Ambystomatidae	Ambystoma	Ambystoma tigrinum	Tiger salamander	1460	1460	28	NA	37	NA	NA	NA	NA	9.402	NA	25	485	captivity	medium	acceptable	NA	NA	0.00196	3.21	291	27374404851143
