species	group	genome_size	hcn	map_length	sexual_system	size	num_markers	parpath	data_source	genus	log10_size
Bombyx mori	animal	0.5134500000000001	28	33.2	gonochorous	0.04	251	FALSE	Stapley et al (2017)	Bombyx	-1.3979400086720375
Bos taurus	animal	3.5371	31	31.590999999999998	gonochorous	2.45	2389	FALSE	Stapley et al (2017)	Bos	0.3891660843645325
Bracon hebetor	animal	0.165	10	5.361000000000001	male.haploid	0.003	72	TRUE	Stapley et al (2017)	Bracon	-2.5228787452803374
Brassica campestris	plant	0.56724	10	9.732999999999999	NA	0.6096	NA	FALSE	Stapley et al (2017)	Brassica	-0.2149550416684559
Brassica carinata	plant	1.54524	17	20.48	NA	1.4	NA	FALSE	Stapley et al (2017)	Brassica	0.146128035678238
Brassica juncea	plant	1.49634	18	15.79	NA	0.8	NA	FALSE	Stapley et al (2017)	Brassica	-0.09691001300805639
Brassica napus	plant	1.1247	19	19.179000000000002	NA	1	NA	FALSE	Stapley et al (2017)	Brassica	0
Brassica oleracea	plant	0.7628	9	8.9001	NA	0.6096	NA	FALSE	Stapley et al (2017)	Brassica	-0.2149550416684559
Brassica rapa	plant	0.7824	10	8.5898	NA	0.7	NA	FALSE	Stapley et al (2017)	Brassica	-0.1549019599857432
Cajanus cajan	plant	0.86064	11	10.59	NA	1.3716	NA	FALSE	Stapley et al (2017)	Cajanus	0.13722747644290653
Camelina sativa	plant	0.641356	20	13.856	NA	2	NA	FALSE	Stapley et al (2017)	Camelina	0.3010299956639812
Camellia sinensis	plant	3.8142	15	12.18	NA	3.81	NA	FALSE	Stapley et al (2017)	Camellia	0.5809249756756193
Canis lupus	animal	2.74818	39	20.851	gonochorous	1.6002	3000	FALSE	Stapley et al (2017)	Canis	0.2041742660735198
Capra hircus	animal	3.16872	30	27.37	gonochorous	1.2573	307	FALSE	Stapley et al (2017)	Capra	0.09943891555350681
Capsella bursa-pastoris	plant	0.3912	16	10.644	NA	0.5	NA	FALSE	Stapley et al (2017)	Capsella	-0.3010299956639812
Capsicum annuum	plant	3.09048	12	13.72	NA	0.5334	NA	FALSE	Stapley et al (2017)	Capsicum	-0.2729469886461427
Capsicum baccatum	plant	3.62838	12	10.56	NA	2	NA	FALSE	Stapley et al (2017)	Capsicum	0.3010299956639812
Carassius auratus	animal	1.64304	50	52.52	NA	0.48	8521	FALSE	Stapley et al (2017)	Carassius	-0.3187587626244128
Carica papaya	plant	0.372	18	10.699000000000002	NA	10	NA	FALSE	Stapley et al (2017)	Carica	1
Carthamus tinctorius	plant	1.3692	12	9.5944	NA	0.9	NA	FALSE	Stapley et al (2017)	Carthamus	-0.045757490560675115
Castanea mollissima	plant	0.833241	12	7.43	NA	16	NA	FALSE	Stapley et al (2017)	Castanea	1.2041199826559248
Catharanthus roseus	plant	2.3765	6	17.904	NA	0.3048	NA	FALSE	Stapley et al (2017)	Catharanthus	-0.5159850373324371
Ceratopteris richardii	plant	11.294	39	21.788	NA	0.35	NA	FALSE	Stapley et al (2017)	Ceratopteris	-0.4559319556497244
Chenopodium quinoa	plant	1.44744	18	14.04	NA	1.5	NA	FALSE	Stapley et al (2017)	Chenopodium	0.17609125905568124
Chimonanthus praecox	plant	0.6	11	18.01	NA	3.81	NA	FALSE	Stapley et al (2017)	Chimonanthus	0.5809249756756193
