key	species	dataset	is_terrestrial	genus	is_terrestrial_orig	n_occ	range
Drosophila malerkotliana	Drosophila malerkotliana	Leffler	TRUE	Drosophila	TRUE	62	10500000
Drosophila melanogaster	Drosophila melanogaster	Leffler	TRUE	Drosophila	FALSE	1715	89127781.9717024
Drosophila miranda	Drosophila miranda	Leffler	TRUE	Drosophila	FALSE	4	10440
Drosophila mojavensis	Drosophila mojavensis	Leffler	TRUE	Drosophila	FALSE	3	567011
Drosophila navojoa	Drosophila navojoa	Leffler	TRUE	Drosophila	FALSE	6	-Inf
Drosophila novamexicana	Drosophila novamexicana	Leffler	TRUE	Drosophila	FALSE	1	130000
Drosophila parabipectinata	Drosophila parabipectinata	Leffler	TRUE	Drosophila	FALSE	8	6537563
Drosophila persimilis	Drosophila persimilis	Leffler	TRUE	Drosophila	FALSE	15	624127
Drosophila pseudoananassae	Drosophila pseudoananassae	Leffler	TRUE	Drosophila	FALSE	6	-Inf
Drosophila pseudoobscura	Drosophila pseudoobscura	Leffler	TRUE	Drosophila	TRUE	203	4061961
Drosophila sechellia	Drosophila sechellia	Leffler	TRUE	Drosophila	FALSE	64	282
Drosophila simulans	Drosophila simulans	Leffler	TRUE	Drosophila	FALSE	604	81407482.0928688
Drosophila subobscura	Drosophila subobscura	Leffler	TRUE	Drosophila	TRUE	2139	11771198
Eichhornia paniculata	Eichhornia paniculata	Leffler	TRUE	Eichhornia	TRUE	557	3679669.4746415657
Eschrichtius robustus	Eschrichtius robustus	Leffler	FALSE	Eschrichtius	TRUE	4349	34596350.61343314
Eulemur coronatus	Eulemur coronatus	Leffler	TRUE	Eulemur	TRUE	129	108447.68716176625
Eulemur mongoz	Eulemur mongoz	Leffler	TRUE	Eulemur	TRUE	304	61917.478394298865
Ficedula albicollis	Ficedula albicollis	Leffler	TRUE	Ficedula	FALSE	30097	10582899.949479345
Ficedula hypoleuca	Ficedula hypoleuca	Leffler	TRUE	Ficedula	TRUE	30000	8295396.076817775
Galago moholi	Galago moholi	Leffler	TRUE	Galago	TRUE	762	4297717.892670701
Gasterosteus aculeatus	Gasterosteus aculeatus	Leffler	TRUE	Gasterosteus	TRUE	30000	7133344.678165074
Gorilla beringei/gorilla	Gorilla beringei	Leffler	TRUE	Gorilla	TRUE	401	52004.55223675302
Gorilla beringei/gorilla	Gorilla gorilla	Leffler	TRUE	Gorilla	TRUE	1254	1592308.8266702762
Gryllus firmus	Gryllus firmus	Leffler	TRUE	Gryllus	TRUE	180	154135.35905675904
Gryllus pennsylvanicus	Gryllus pennsylvanicus	Leffler	TRUE	Gryllus	TRUE	1578	7243890.37336653
Gulo gulo	Gulo gulo	Leffler	TRUE	Gulo	TRUE	26458	13443926.270702684
Heliconius cydno	Heliconius cydno	Leffler	TRUE	Heliconius	TRUE	1543	912897.7993618869
Heliconius hecale	Heliconius hecale	Leffler	TRUE	Heliconius	TRUE	1161	5797144.834759731
Heliconius melpomene	Heliconius melpomene	Leffler	TRUE	Heliconius	TRUE	2437	9487342.207900908
Heliconius pachinus	Heliconius pachinus	Leffler	TRUE	Heliconius	TRUE	122	30375.286990051634
Histoplasma capsulatum	Histoplasma capsulatum	Leffler	TRUE	Histoplasma	TRUE	193	NA
Homo sapiens	Homo sapiens	Leffler	TRUE	Homo	TRUE	30000	496890000
Hoolock leuconedys	Hoolock leuconedys	Leffler	TRUE	Hoolock	FALSE	11	-Inf
Hylobates agilis/lar/moloch/pileatus	Hylobates agilis	Leffler	TRUE	Hylobates	TRUE	230	313514.97990514804
Hylobates agilis/lar/moloch/pileatus	Hylobates lar	Leffler	TRUE	Hylobates	TRUE	976	2315192.542389123
Hylobates agilis/lar/moloch/pileatus	Hylobates moloch	Leffler	TRUE	Hylobates	TRUE	264	19434.776063529822
Hylobates agilis/lar/moloch/pileatus	Hylobates pileatus	Leffler	TRUE	Hylobates	TRUE	204	69731.4627617762
Ixodes ricinus	Ixodes ricinus	Leffler	TRUE	Ixodes	TRUE	4355	5193464.308828457
Limenitis arthemis	Limenitis arthemis	Leffler	TRUE	Limenitis	TRUE	12351	14883418.140798511
Lutzomyia intermedia	Lutzomyia intermedia	Leffler	TRUE	Lutzomyia	TRUE	101	-Inf
Lutzomyia whitmani	Lutzomyia whitmani	Leffler	TRUE	Lutzomyia	TRUE	31	0
Lynx lynx	Lynx lynx	Leffler	TRUE	Lynx	TRUE	30000	6196196.665221658
Macaca mulatta	Macaca mulatta	Leffler	TRUE	Macaca	TRUE	2176	8184231.720724102
Malurus melanocephalus	Malurus melanocephalus	Leffler	TRUE	Malurus	TRUE	30000	2846577.416781164
Melanoplus oregonensis	Melanoplus oregonensis	Leffler	TRUE	Melanoplus	TRUE	255	756537.6879253958
Mesobuthus cyprius/gibbosus	Mesobuthus cyprius	Leffler	TRUE	Mesobuthus	TRUE	9	1513.5202327492066
Mesobuthus cyprius/gibbosus	Mesobuthus gibbosus	Leffler	TRUE	Mesobuthus	TRUE	265	191114.21874267963
Monodelphis domestica	Monodelphis domestica	Leffler	TRUE	Monodelphis	TRUE	401	2240342.8515600786
Mus musculus castaneus	Mus musculus	Leffler	TRUE	Mus	TRUE	30000	36172053.41266696
Nasonia vitripennis	Nasonia vitripennis	Leffler	TRUE	Nasonia	TRUE	465	20014000
Neurospora crassa	Neurospora crassa	Leffler	TRUE	Neurospora	TRUE	178	NA
Nomascus gabriellae/leucogenys	Nomascus gabriellae	Leffler	TRUE	Nomascus	TRUE	36	8235.452246640265
Nomascus gabriellae/leucogenys	Nomascus leucogenys	Leffler	TRUE	Nomascus	TRUE	87	299958.4268198365
Nycticebus coucang	Nycticebus coucang	Leffler	TRUE	Nycticebus	TRUE	535	3179998.8262622626
Oncorhynchus tshawytscha	Oncorhynchus tshawytscha	Leffler	TRUE	Oncorhynchus	FALSE	30000	5806199.368720492
Oryctolagus cuniculus	Oryctolagus cuniculus	Leffler	TRUE	Oryctolagus	TRUE	30000	16081332.234121868
Pan paniscus	Pan paniscus	Leffler	TRUE	Pan	TRUE	148	275418.3213953663
Pan troglodytes	Pan troglodytes	Leffler	TRUE	Pan	TRUE	5503	5056257.975882896
Papilio dardanus	Papilio dardanus	Leffler	FALSE	Papilio	FALSE	4718	8653984.973320724
Paracoccidioides brasiliensis PS2/PS3/S1	Paracoccidioides brasiliensis	Leffler	TRUE	Paracoccidioides	TRUE	112	NA
Paracoccidioides lutzii	Paracoccidioides lutzii	Leffler	TRUE	Paracoccidioides	TRUE	1	NA
Paramecium sexaurelia	Paramecium sexaurelia	Leffler	FALSE	Paramecium	FALSE	3	-Inf
Paramecium tetraurelia	Paramecium tetraurelia	Leffler	FALSE	Paramecium	FALSE	2	-Inf
Peromyscus maniculatus	Peromyscus maniculatus	Leffler	TRUE	Peromyscus	TRUE	30000	13757084.260653147
Phlebotomus ariasi	Phlebotomus ariasi	Leffler	TRUE	Phlebotomus	TRUE	35	-Inf
Phytophthora capsici	Phytophthora capsici	Leffler	TRUE	Phytophthora	TRUE	123	NA
Phytophthora infestans	Phytophthora infestans	Leffler	TRUE	Phytophthora	TRUE	1031	NA
Picea abies	Picea abies	Leffler	TRUE	Picea	TRUE	30025	11444566.186756022
Picea breweriana	Picea breweriana	Leffler	TRUE	Picea	TRUE	525	579366.9452535058
Picea glauca	Picea glauca	Leffler	TRUE	Picea	TRUE	10154	16913760.26911772
Picea mariana	Picea mariana	Leffler	TRUE	Picea	TRUE	4649	12881494.105876226
Pieris rapae	Pieris rapae	Leffler	TRUE	Pieris	TRUE	30000	24337322.293297485
Pinus pinaster	Pinus pinaster	Leffler	TRUE	Pinus	TRUE	30147	73091.46532789458
Pinus radiata	Pinus radiata	Leffler	TRUE	Pinus	TRUE	29378	4741751.258822679
Pinus sylvestris	Pinus sylvestris	Leffler	TRUE	Pinus	TRUE	30250	15723591.763232494
Pinus taeda	Pinus taeda	Leffler	TRUE	Pinus	FALSE	3605	5286697.870062815
Plasmodium falciparum	Plasmodium falciparum	Leffler	TRUE	Plasmodium	TRUE	7427	NA
Pongo abelii/pygmaeus	Pongo abelii	Leffler	TRUE	Pongo	TRUE	181	16775
Pongo abelii/pygmaeus	Pongo pygmaeus	Leffler	TRUE	Pongo	TRUE	1661	97716
Populus balsamifera	Populus balsamifera	Leffler	TRUE	Populus	TRUE	22868	18886118.851660404
Populus tremula	Populus tremula	Leffler	TRUE	Populus	TRUE	30000	20464576.92487735
Populus trichocarpa	Populus trichocarpa	Leffler	TRUE	Populus	TRUE	11684	4620738.0350176515
Propithecus coquereli	Propithecus coquereli	Leffler	TRUE	Propithecus	TRUE	72	58890.21977360684
Saccharomyces cerevisiae	Saccharomyces cerevisiae	Leffler	TRUE	Saccharomyces	FALSE	3244	NA
Saccharomyces paradoxus	Saccharomyces paradoxus	Leffler	TRUE	Saccharomyces	FALSE	299	NA
Sceloporus undulatus	Sceloporus undulatus	Leffler	TRUE	Sceloporus	TRUE	29845	6628873.712770196
Silene latifolia	Silene latifolia	Leffler	TRUE	Silene	TRUE	30000	20530343.309306603
Sistrurus catenatus	Sistrurus catenatus	Leffler	TRUE	Sistrurus	TRUE	4235	4315816.817080151
Spermophilus parryii	Spermophilus parryii	Leffler	TRUE	Spermophilus	TRUE	1747	3535016.5310139745
Strongylocentrotus droebachiensis	Strongylocentrotus droebachiensis	Leffler	FALSE	Strongylocentrotus	FALSE	4054	27073070.970619414
Strongylocentrotus pallidus	Strongylocentrotus pallidus	Leffler	FALSE	Strongylocentrotus	FALSE	478	14432526.170952301
Strongylocentrotus purpuratus	Strongylocentrotus purpuratus	Leffler	FALSE	Strongylocentrotus	TRUE	2559	8175203.216182709
Symphalangus syndactylus	Symphalangus syndactylus	Leffler	TRUE	Symphalangus	TRUE	432	463634.1632805474
Taeniopygia guttata	Taeniopygia guttata	Leffler	TRUE	Taeniopygia	TRUE	30000	9963861.989970457
Takifugu rubripes	Takifugu rubripes	Leffler	FALSE	Takifugu	FALSE	169	2195138.166343842
Tupaia belangeri	Tupaia belangeri	Leffler	TRUE	Tupaia	TRUE	819	2591614.289443956
Varecia variegata variegata	Varecia variegata	Leffler	TRUE	Varecia	TRUE	1344	158267.23594783468
Zonotrichia albicollis	Zonotrichia albicollis	Leffler	TRUE	Zonotrichia	TRUE	30000	10863302.335520798
Acacia mangium	Acacia mangium	Stapley	TRUE	Acacia	TRUE	1282	12399543.598413756
Acromyrmex echinatior	Acromyrmex echinatior	Stapley	TRUE	Acromyrmex	TRUE	105	414308.5250288181
Acropora millepora	Acropora millepora	Stapley	FALSE	Acropora	FALSE	1613	62416159.05944288
Actinidia chinensis	Actinidia chinensis	Stapley	TRUE	Actinidia	TRUE	2324	5630444.105172328
Aedes albopictus	Aedes albopictus	Stapley	TRUE	Aedes	TRUE	30000	27911590.92003886
Aegilops sharonensis	Aegilops sharonensis	Stapley	TRUE	Aegilops	TRUE	926	43919.78487514208
Aegilops tauschii	Aegilops tauschii	Stapley	TRUE	Aegilops	TRUE	5513	6594872.429615874
Aegilops umbellulata	Aegilops umbellulata	Stapley	TRUE	Aegilops	TRUE	1308	1777266.1175973685
Agaricus bisporus	Agaricus bisporus	Stapley	TRUE	Agaricus	TRUE	1551	6258575.1232095035
Agrostis capillaris	Agrostis capillaris	Stapley	TRUE	Agrostis	TRUE	30007	7734464.332981791
Agrostis stolonifera	Agrostis stolonifera	Stapley	TRUE	Agrostis	FALSE	30002	14002069.930392003
Allium cepa	Allium cepa	Stapley	TRUE	Allium	TRUE	17735	52079257.83313718
Amaranthus hybridus	Amaranthus hybridus	Stapley	TRUE	Amaranthus	FALSE	30002	43250953.73377271
Ambystoma tigrinum	Ambystoma tigrinum	Stapley	TRUE	Ambystoma	TRUE	14252	9199984.506841406
Ananas comosus	Ananas comosus	Stapley	TRUE	Ananas	FALSE	11401	24356515.74182128
Anas platyrhynchos	Anas platyrhynchos	Stapley	TRUE	Anas	TRUE	30000	18560060.839350823
Anguilla japonica	Anguilla japonica	Stapley	FALSE	Anguilla	FALSE	5533	10067876.271851877
Anopheles funestus	Anopheles funestus	Stapley	TRUE	Anopheles	TRUE	2517	479617.1503047994
Anoplopoma fimbria	Anoplopoma fimbria	Stapley	FALSE	Anoplopoma	FALSE	4211	19887093.9568192
Apostichopus japonicus	Apostichopus japonicus	Stapley	FALSE	Apostichopus	FALSE	190	717411.3329405262
Arachis duranensis	Arachis duranensis	Stapley	TRUE	Arachis	TRUE	992	1025883.7721985113
Arachis hypogaea	Arachis hypogaea	Stapley	TRUE	Arachis	TRUE	30000	64143898.82508784
Argopecten irradians	Argopecten irradians	Stapley	FALSE	Argopecten	FALSE	4744	258190.56910569104
Aristichthys nobilis	Aristichthys nobilis	Stapley	TRUE	Aristichthys	TRUE	73	708578.8744558458
Artemia franciscana	Artemia franciscana	Stapley	TRUE	Artemia	TRUE	277	937965.608768734
Ascochyta rabiei	Ascochyta rabiei	Stapley	FALSE	Ascochyta	FALSE	46	-Inf
Aspergillus nidulans	Aspergillus nidulans	Stapley	TRUE	Aspergillus	TRUE	1279	3877969.5722754914
Astatotilapia burtoni	Astatotilapia burtoni	Stapley	TRUE	Astatotilapia	TRUE	868	122062.31590335336
Astyanax mexicanus	Astyanax mexicanus	Stapley	TRUE	Astyanax	TRUE	7361	3049714.4046703125
Avena sativa	Avena sativa	Stapley	TRUE	Avena	TRUE	30009	31011874.348292544
Bactrocera cucurbitae	Bactrocera cucurbitae	Stapley	TRUE	Bactrocera	TRUE	1855	15712967.329282722
Barbarea vulgaris	Barbarea vulgaris	Stapley	TRUE	Barbarea	TRUE	60000	17085413.679444462
Begonia plebeja	Begonia plebeja	Stapley	TRUE	Begonia	TRUE	127	594617.7184877584
Beta vulgaris	Beta vulgaris	Stapley	TRUE	Beta	TRUE	30000	28610100.45444949
Betula pendula	Betula pendula	Stapley	TRUE	Betula	TRUE	30000	15629283.980576867
Bicyclus anynana	Bicyclus anynana	Stapley	TRUE	Bicyclus	TRUE	249	3583581.4856161647
Bison bison	Bison bison	Stapley	TRUE	Bison	TRUE	11464	143253
Biston betularia	Biston betularia	Stapley	TRUE	Biston	TRUE	30000	15679141.71172903
Boehmeria nivea	Boehmeria nivea	Stapley	TRUE	Boehmeria	TRUE	5709	10331542.350197313
Bombus terrestris	Bombus terrestris	Stapley	TRUE	Bombus	TRUE	30000	7528845.598946439
Bombyx mori	Bombyx mori	Stapley	TRUE	Bombyx	FALSE	1699	731462.0345862951
Bos taurus	Bos taurus	Stapley	TRUE	Bos	TRUE	26178	21136964.05452326
Bracon hebetor	Bracon hebetor	Stapley	TRUE	Bracon	FALSE	156	836343.5348324344
