phylum	bd_mass	bd_prop_mass	total_carbon_mass	nspecies	prop_carbon_mass	total_species	frac	factor
Arthropoda	1.2	0.4634994206257242	2.7965766110896477e-4	68	0.010176563223244891	1257000	5.409705648369133e-5	4.31
Chordata	0.8689999999999999	0.33565083043646193	0.026698233914821776	68	0.9715316373088813	54083.26913195984	0.0012573204447771861	24.4
Annelida	0.2	0.07724990343762071	1.227701665787841e-5	3	4.4675277521916346e-4	17000	1.7647058823529413e-4	0.348
Mollusca	0.2	0.07724990343762071	4.5569905441739393e-4	13	0.01658259680661709	95367.70941990796	1.3631448295313946e-4	16.7
Cnidaria	0.1	0.038624951718810356	3.0665319352651716e-05	2	0.0011158913362708217	16000	1.25e-4	2.45
Nematoda	0.02	0.00772499034376207	4.027511090353594e-6	1	1.4655854976679364e-4	25000	4e-5	5.03
