Publication	Species	Population Label	Ne	95% CI		N	Ne/N	Nemin/N	Nemax/N	+	-	body_length	source
Zeller et al (2008)	Eudiaptomus graciloides	Lake Schohsee  0,3,4,6 g	1593.4	870.6	4977.3	5.00E+10	0.00	0.000	0.000	0.000	0.000	0.015	https://www.artsdatabanken.no/Pages/220898/
Brown et al (2007)	Falco peregrinus	P. paelei	293.0	130	1485	756	0.39	0.172	1.964	1.577	0.216	0.46	WP
Kaeuffer et al (2004)	Felis catus	BAC	22.1	10.5	43	51	0.43	0.206	0.843	0.410	0.227	0.46	https://naturalhistory2.si.edu/smsfp/irlspec/Felis_catus.htm
Kaeuffer et al (2004)	Felis catus	LCR	22.6	14.4	36	56	0.40	0.257	0.643	0.239	0.146	0.46	https://naturalhistory2.si.edu/smsfp/irlspec/Felis_catus.htm
Coyer et al (2008)	Fucus serratus	Slattholmen Norway	99.0	73	193	208000	0.00	0.000	0.001	0.000	0.000		
Hutchinson et al (2003)	Gadus morhua	Flamborough Head 60-71	121.0	51	426	3.10E+06	0.00	0.000	0.000	0.000	0.000	1.75	https://animaldiversity.org/accounts/Gadus_morhua/
Alo & Turner (2005)	Hybognathus amarus	San Acacia 99-01	42.0	28	70	1078.524125	0.04	0.026	0.065	0.026	0.013	0.1	https://www.fishbase.se/summary/Hybognathus-amarus.html
Turner et al (2006)	Hybognathus amarus	Rio Grande	90.0	34	186	7.10E+04	0.00	0.000	0.003	0.001	0.001	0.1	https://www.fishbase.se/summary/Hybognathus-amarus.html
Turner et al (2006)	Hybognathus placitus	Rio Grande	812.0	171	∞	1.70E+04	0.05	0.010	10.000	9.952	0.038	0.07	https://www.fishbase.se/summary/Hybognathus-placitus.html
Lippe et al (2006)	Moxostoma hubbsi	St.Lawrence R area 1984-1999/04	169.0	107	357	500	0.34	0.214	0.714	0.376	0.124	0.475	https://www.fishbase.se/summary/Moxostoma-hubbsi.html
Brekke et al (2011)	Notiomystis cincta	Kapiti (reintroduced)	12	9	17	144	0.08	0.063	0.118	0.035	0.021	0.18	http://nzbirdsonline.org.nz/species/stitchbird
Brekke et al (2011)	Notiomystis cincta	Tiritiri Matangi (reintroduced)	40	31	50	150	0.27	0.207	0.333	0.067	0.060	0.18	http://nzbirdsonline.org.nz/species/stitchbird
Heath et al (2002)	Oncorhynchus mykiss	ZYM 58-97	164.0	103	288	1491	0.11	0.069	0.193	0.083	0.041	0.6	http://fishbase.org/summary/Oncorhynchus-mykiss.html
Heath et al (2002)	Oncorhynchus mykiss	BAB 77-97	92.0	59	148	1586	0.06	0.037	0.093	0.035	0.021	0.6	http://fishbase.org/summary/Oncorhynchus-mykiss.html
Heath et al (2002)	Oncorhynchus mykiss	KIS 75-98	560.0	218	∞	1931	0.29	0.113	10.000	9.710	0.177	0.6	http://fishbase.org/summary/Oncorhynchus-mykiss.html
Shrimpton & Heath (2003)	Oncorhynchus tsawytscha	Dome 86-96	94.0	64	137	338	0.28	0.189	0.405	0.127	0.089	0.7	https://www.fishbase.se/summary/Oncorhynchus-tshawytscha.html
Shrimpton & Heath (2003)	Oncorhynchus tsawytscha	Stuart 80-98	323.0	191	614	1077	0.30	0.177	0.570	0.270	0.123	0.7	https://www.fishbase.se/summary/Oncorhynchus-tshawytscha.html
Shrimpton & Heath (2003)	Oncorhynchus tsawytscha	Nechako 78-98	438.0	271	785	1907	0.23	0.142	0.412	0.182	0.088	0.7	https://www.fishbase.se/summary/Oncorhynchus-tshawytscha.html
Shrimpton & Heath (2003)	Oncorhynchus tsawytscha	Bowron 80-98	126.0	78	217	3838	0.03	0.020	0.057	0.024	0.013	0.7	https://www.fishbase.se/summary/Oncorhynchus-tshawytscha.html
Kaueffer et al (2007)	Ovis aries	Haute Island	130.0	75	275	270	0.48	0.278	1.019	0.537	0.204	1.55448	WP
Hauser et al (2002)	Pagrus auratus	Tasman 50-98	176.0	80	720	6.80E+06	0.00	0.000	0.000	0.000	0.000	0.4	https://www.fishbase.se/summary/Pagrus-auratus
Hauser et al (2002)	Pagrus auratus	Hauraki 52-98	1164.0	157	∞	5.50E+07	0.00	0.000	10.000	10.000	0.000	0.4	https://www.fishbase.se/summary/Pagrus-auratus
Henry et al (2009)	Panthera tigris altaica	Entire distribution	27	16	51	502	0.05	0.032	0.102	0.048	0.022	203	https://ielc.libguides.com/sdzg/factsheets/tiger/characteristics
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 3:2	1.7	0.46	5.3	7	0.24	0.066	0.757	0.517	0.174	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 1:1	5.9	1.32	62.6	12	0.49	0.110	5.217	4.726	0.381	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 2:1	2.7	0.98	5.32	15	0.18	0.065	0.355	0.173	0.116	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 3:3	2.0	0.77	7.23	15	0.13	0.051	0.482	0.348	0.083	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 1:4	0.8	0.23	1.86	18	0.04	0.013	0.103	0.061	0.029	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 2:3	4.8	2.01	7.91	21	0.23	0.096	0.377	0.148	0.133	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 2:4	2.1	0.51	3.97	21	0.10	0.024	0.189	0.091	0.074	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 3:1	4.9	1.32	15.23	21	0.23	0.063	0.725	0.494	0.168	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 2:2	3.5	1.02	9.82	23	0.15	0.044	0.427	0.273	0.109	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 3:5	3.6	1.44	8.45	25	0.14	0.058	0.338	0.195	0.086	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 1:3	7.0	1.22	9.78	26	0.27	0.047	0.376	0.108	0.221	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Ingvarsson & Olsson (1997)	Phalacrus substriatus	Pop 3:4	9.8	3.01	14.89	32	0.31	0.094	0.465	0.159	0.212	0.00225	https://www.delta-intkey.com/britin/col/www/phalacri.htm
Watts et al (2010)	Pleuronecta olatessa	2001 Scotland 	36.9	31.7	42.9	1683464	0.00	0.000	0.000	0.000	0.000	0.55	http://www.habitas.org.uk/marinelife/species.asp?item=ZG9030#:~:text=Pleuronectes%20platessa%20(Linnaeus%2C%201758)&text=The%20upper%20surface%20is%20pale,between%2050%2D60cm%20in%20length.
Watts et al (2010)	Pleuronecta olatessa	2001 Irish Sea 	648.9	289.7	∞	17242220	0.00	0.000	10.000	10.000	0.000	0.55	http://www.habitas.org.uk/marinelife/species.asp?item=ZG9030#:~:text=Pleuronectes%20platessa%20(Linnaeus%2C%201758)&text=The%20upper%20surface%20is%20pale,between%2050%2D60cm%20in%20length.
Watts et al (2010)	Pleuronecta olatessa	2003 Irish Sea 	774.4	289	∞	25840220	0.00	0.000	10.000	10.000	0.000	0.55	http://www.habitas.org.uk/marinelife/species.asp?item=ZG9030#:~:text=Pleuronectes%20platessa%20(Linnaeus%2C%201758)&text=The%20upper%20surface%20is%20pale,between%2050%2D60cm%20in%20length.
Hoarau et al (2005)	Pleuronectes platessa	Iceland	1733.0	1063	3598	1.00E+08	0.00	0.000	0.000	0.000	0.000	0.55	http://www.habitas.org.uk/marinelife/species.asp?item=ZG9030#:~:text=Pleuronectes%20platessa%20(Linnaeus%2C%201758)&text=The%20upper%20surface%20is%20pale,between%2050%2D60cm%20in%20length.
Hoarau et al (2005)	Pleuronectes platessa	North Sea	19535.0	3435	70000	1.00E+09	0.00	0.000	0.000	0.000	0.000	0.55	http://www.habitas.org.uk/marinelife/species.asp?item=ZG9030#:~:text=Pleuronectes%20platessa%20(Linnaeus%2C%201758)&text=The%20upper%20surface%20is%20pale,between%2050%2D60cm%20in%20length.
Spidle et al (2005)	Salmo salar	Conneticut R 1993-1998	193.0	159	232	221	0.87	0.719	1.050	0.176	0.154	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Palstra et al (2009)	Salmo salar	Northeast Brook 1985–2003 	376.0	133	∞	400	0.94	0.333	10.000	9.060	0.608	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Consuegra et al (2005)	Salmo salar	Ason 96-00	42.0	21	67	477	0.09	0.044	0.140	0.052	0.044	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Consuegra et al (2005)	Salmo salar	Deva 96-00	113.0	49	197	655	0.17	0.075	0.301	0.128	0.098	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Consuegra et al (2005)	Salmo salar	Pas 96-00	175.0	67	284	961	0.18	0.070	0.296	0.113	0.112	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
Consuegra et al (2005)	Salmo salar	Nansa 96-00	68.0	33	110	1541	0.04	0.021	0.071	0.027	0.023	0.75	https://nas.er.usgs.gov/queries/FactSheet.aspx?speciesID=926#:~:text=Maximum%20length%20120%20cm%20(females,2006).
