species	group	type	trophic	mass_g	mass_reference	density	density_reference
Praomys natalensis	mammals	rodentia	primary consumers	50	"151, 283, 479,553, 606, 607,617, 648"	777	"112, 148, 150,283, 606, 648,657"
Praomys tullbergi	mammals	rodentia	primary consumers	38	"186, 282, 398"	1900	"283, 284"
Proechimys guyannensis	mammals	rodentia	primary consumers	316	201	1060	201
Proechimys semispinosus	mammals	rodentia	primary consumers	800	"185, 253"	583	"212, 213"
Psammomys obesus	mammals	rodentia	primary consumers	70	260	79	140
Rattus cremoriventer	mammals	rodentia	primary consumers	72	"408, 580"	27	287
Rattus exulans	mammals	rodentia	primary consumers	62	"408, 709"	4480	"173, 287, 652,"
Rattus fuscipes	mammals	rodentia	primary consumers	125	"33, 71, 574"	1770	"703, 709 33, 34, 711"
Rattus muelleri	mammals	rodentia	primary consumers	321	"407, 408, 580,717"	38	287
Rattus rattus	mammals	rodentia	primary consumers	122	"151, 260, 408,491, 553, 607"	3650	652
Rattus tiomanicus	mammals	rodentia	primary consumers	112	408	227	287
Rattus villosissimus	mammals	rodentia	primary consumers	251	45	3350	101
Rattus whiteheadi	mammals	rodentia	primary consumers	54	"408, , 580"	50	287
Reithrodon auritus	mammals	rodentia	primary consumers	85	497	69	497
Reithrodontomys fulvescens	mammals	rodentia	primary consumers	21	93	598	"337, 506, 522"
Reithrodontomys megalotis	mammals	rodentia	primary consumers	16	"76, 93, 115"	1530	"38, 118, 418,"
Rhabdomys pumilio	mammals	rodentia	primary consumers	44	"20, 617, 648,"	224	"449, 522, 701 119"
Rhipidomys mastacalis	mammals	rodentia	primary consumers	115	"497, 734"	144	183
Saccostomus campestris	mammals	rodentia	primary consumers	45	"18, 151, 607,"	870	648
Sciurus carolinensis	mammals	rodentia	primary consumers	530	617 93	701	"32, 65, 220, 466, 471, 673"
Sciurus granatensis	mammals	rodentia	primary consumers	275	497	45	183
Sciurus griseus	mammals	rodentia	primary consumers	680	93	431	316
Sciurus langsdorf	mammals	rodentia	primary consumers	275	497	300	497
Sigmodon fulviventer	mammals	rodentia	primary consumers	120	"25, 93, 329"	1460	522
Sigmodon hispidus	mammals	rodentia	primary consumers	129	"93, 291, 338,498"	2220	"118, 211, 337,498, 522, 595,"
Sigmomys alstoni	mammals	rodentia	primary consumers	50	497	50	"614, 632, 701 183"
Spermophilus armatus	mammals	rodentia	primary consumers	350	93	5130	612
Spermophilus franklini	mammals	rodentia	primary consumers	500	93	500	476
Spermophilus richardsonii	mammals	rodentia	primary consumers	351	"93, 720"	3280	720
Spermophilus spilosoma	mammals	rodentia	primary consumers	107	"93, 115"	105	"115, 701"
Spermophilus tridecemlineatus	mammals	rodentia	primary consumers	200	93	318	"200, 229"
Spermophilus undulatus	mammals	rodentia	primary consumers	800	93	330	99
Stochomys longicaudatus	mammals	rodentia	primary consumers	71	"282, 398, 553"	94	283
Sundasciurus tenuis	mammals	rodentia	primary consumers	100	"580, 731"	23	287
Synaptomys cooperi	mammals	rodentia	primary consumers	27	239	1850	239
Tachyoryctes splendens	mammals	rodentia	primary consumers	200	"359, 553, 554"	3822	"148, 150, 554"
Tamias striatus	mammals	rodentia	primary consumers	97	"93, 260"	2060	"646, 716"
Tamiasciurus hudsonicus	mammals	rodentia	primary consumers	207	"93, 155"	148	"345, 392, 724"
Tatera kempii	mammals	rodentia	primary consumers	101	283	725	"48, 283"
Taterillus gracilis	mammals	rodentia	primary consumers	51	"283, 309, 310"	528	283
Talerillus pygargus	mammals	rodentia	primary consumers	62	310	550	"544, 545"
Thamnomys dolichurus	mammals	rodentia	primary consumers	42	"151, 359, 553"	343	"148, 150, 461"
Thomomys bottae	mammals	rodentia	primary consumers	154	"51, 93"	2200	"308, 512"
Thomomys talpoides	mammals	rodentia	primary consumers	93	"93, 677"	2480	"278, 559, 677"
Uranomys ruddi	mammals	rodentia	primary consumers	34	282	214	"48, 283"
Zapus hudsonicus	mammals	rodentia	primary consumers	18	93	6430	584
Zapus princeps	mammals	rodentia	primary consumers	29	93	330	81
Zygodontomys brevicauda	mammals	rodentia	primary consumers	56	734	279	"183, 497"
Ailuropoda melanoleuca	mammals	carnivora	primary consumers	118000	683	0.121	605
Bradypus infuscatus	mammals	edentata	primary consumers	2700	182	407	"182, 183"
Choloepus hofmanni	mammals	edentata	primary consumers	3500	182	190	182
Caluromys philander	mammals	marsupialia	primary consumers	300	110	150	110
Lasiorhinus latifrons	mammals	marsupialia	primary consumers	25000	695	20.8	695
Macropus parryi	mammals	marsupialia	primary consumers	12000	182	47	182
Macropus robustus	mammals	marsupialia	primary consumers	31900	655	15	"174, 175"
Megaleia rufa	mammals	marsupialia	primary consumers	41400	152	0.7	"104, 487, 488"
Phascolarctos cinereus	mammals	marsupialia	primary consumers	11000	182	100	182
Potorous apicalis	mammals	marsupialia	primary consumers	1360	"182, 268"	19.6	363
Pseudocheirus peregrinus	mammals	marsupialia	primary consumers	872	"182, 655"	125	"182, 661"
Schoinobates volans	mammals	marsupialia	primary consumers	1250	671	83	671
Selonix brachyurus	mammals	marsupialia	primary consumers	3000	"167, 182"	511	"182, 363"
Trichosurus caninus	mammals	marsupialia	primary consumers	2800	35	150	182
Trichosurus oulpecula	mammals	marsupialia	primary consumers	2080	"167, 167, 65: 655"	75	"136, 168, 169,"
Vombatus ursinus	mammals	marsupialia	primary consumers	22500	"182, 683"	11	621 421
Wallabia agilis	mammals	marsupialia	primary consumers	10000	182	20	182
Blarina brevicauda	mammals	insectivora	secondary consumers insect eaters	17.8	"39, 9 93"	621	616
Crocidura bicolor	mammals	insectivora	secondary consumers insect eaters	3.8	"20, 607"	153	148
Crocidura hildegardeae	mammals	insectivora	secondary consumers insect eaters	10.6	39	392	148
Crocidura occidentalis	mammals	insectivora	secondary consumers insect eaters	33.4	"20, 39, 607"	81.7	148
Elephantulus edwardii	mammals	insectivora	secondary consumers insect eaters	55	276	1400	563
Erinaceus europeaus	mammals	insectivora	secondary consumers insect eaters	805	"39, 735"	600	621
Sorex araneus	mammals	insectivora	secondary consumers insect eaters	9.3	"39, 582"	1046	"280, 281, 621,736, 737, 738,739"
Sorex arcticus	mammals	insectivora	secondary consumers insect eaters	8	93	564	"83, 736"
Sorex cinereus	mammals	insectivora	secondary consumers insect eaters	4.2	93	1207	"83, 741"
Sorex longirostris	mammals	insectivora	secondary consumers insect eaters	4.5	93	69	616
Sorex minutus	mammals	insectivora	secondary consumers insect eaters	5.3	39	621	"280, 281, 738,"
Sorex vagrans	mammals	insectivora	secondary consumers insect eaters	7	93	717	739 674
Sylvisorex lunaris	mammals	insectivora	secondary consumers insect eaters	18.5	39	949	148
Sylvisorex megalura	mammals	insectivora	secondary consumers insect eaters	5.3	39	1103	148
Talpa europea	mammals	insectivora	secondary consumers insect eaters	76	39	1045	"621, 740"
Tupaia glis	mammals	insectivora	secondary consumers insect eaters	134	"39, 580"	74	287
Arctocebus calabarensis	mammals	primates	secondary consumers insect eaters	210	109	7	109
Loris tardigradus	mammals	primates	secondary consumers insect eaters	220	"39, 109"	59	524
Akodon azarae	mammals	rodentia	secondary consumers insect eaters	25	291	8670	497
Akodon longipilis	mammals	rodentia	secondary consumers insect eaters	51.4	233	3815	233
Akodon urichi	mammals	rodentia	secondary consumers insect eaters	45	497	200	183
Bolomys amoenus	mammals	rodentia	secondary consumers insect eaters	25.4	"157, 158, 516"	2020	"157, 516"
Lophuromys flavopunctatus	mammals	rodentia	secondary consumers insect eaters	50	"125, 151"	1610	"149, 150, 277,461"
Lophuromys sikapusi	mammals	rodentia	secondary consumers insect eaters	64	"151, 282, 290,151, 282, 290,"	319	"48, 112, 283"
Notiomys valdivianus	mammals	rodentia	secondary consumers insect eaters	27.1	515	45	515
Notiomys macronyx	mammals	rodentia	secondary consumers insect eaters	70.9	515	297	515
Onychomys torridus	mammals	rodentia	secondary consumers insect eaters	23.8	115	294	"56, 115, 522,"
Oxymycterus rutilans	mammals	rodentia	secondary consumers insect eaters	85	497	620	497
Rhinosciurus laticaudatus	mammals	rodentia	secondary consumers insect eaters	253	731	10.8	287
Zelotomys hildegardeae	mammals	rodentia	secondary consumers insect eaters	51	"18, 151"	69	"112, 607 607"
Conepalus semistriatus	mammals	carnivora	secondary consumers insect eaters	1800	183	10.75	183
Meles meles	mammals	carnivora	secondary consumers insect eaters	10900	479	2.82	"380, 479"
Mephitis mephitis	mammals	carnivora	secondary consumers insect eaters	2404	678	8.5	"202, 678"
Melursus ursinus	mammals	carnivora	secondary consumers insect eaters	105000	642	0.29	"135, 390, 642"
Mungos mungo	mammals	carnivora	secondary consumers insect eaters	1430	"571, 579"	18.1	571
Nasua narica	mammals	carnivora	secondary consumers insect eaters	9070	93	1.6	387
Otocyon megalotis	mammals	carnivora	secondary consumers insect eaters	3750	276	1.88	687
Proteles cristatus	mammals	carnivora	secondary consumers insect eaters	8000	"276, 579"	0.75	687
Spilogale putorius	mammals	carnivora	secondary consumers insect eaters	595	93	5	202
Vulpes pallida	mammals	carnivora	secondary consumers insect eaters	3250	276	6.9	545
Manis tricuspis	mammals	pholidota	secondary consumers insect eaters	2800	182	50	182
Dasypus novemcinctatus	mammals	edentata	secondary consumers insect eaters	3500	182	13.3	182
Myrmecophaga tridactyla	mammals	edentata	secondary consumers insect eaters	20000	182	0.18	183
Tamandua tetradactyla	mammals	edentata	secondary consumers insect eaters	4000	182	6	183
Antechinus stuartii	mammals	marsupialia	secondary consumers insect eaters	35	"33, 71, 182"	1689	"33, 34, 182"
Isoodon obesulus	mammals	marsupialia	secondary consumers insect eaters	560	182	19.8	182
Marmosa cinerea	mammals	marsupialia	secondary consumers insect eaters	80	"110, 183"	51	"110, 183"
Marmosa murina	mammals	marsupialia	secondary consumers insect eaters	45	110	63	110
Marmosa robinsoni	mammals	marsupialia	secondary consumers insect eaters	40	182	180	"183, 214"
Sminthopsis crassicaudata	mammals	marsupialia	secondary consumers insect eaters	15	742	50	742
Philander opossum	mammals	marsupialia	secondary consumers vertebrate flesh eaters	338	"110, 128, 269, 314"	105	"110, 214"
Sarcophilus harrisii	mammals	marsupialia	secondary consumers vertebrate flesh eaters	5700	182	11.6	182
Acinonyx jubatus	mammals	carnivora	secondary consumers vertebrate flesh eaters	50000	276	0.06	"160, 176, 202, 259, 588"
Alopex lagopus	mammals	carnivora	secondary consumers vertebrate flesh eaters	5500	"46, 93,"	0.175	676
Bassariscus astutus	mammals	carnivora	secondary consumers vertebrate flesh eaters	1020	93	2.2	666
Canis adustus	mammals	carnivora	secondary consumers vertebrate flesh eaters	5440	160	0.23	160
Canis aureus	mammals	carnivora	secondary consumers vertebrate flesh eaters	12500	276	0.258	"293, 545"
Canis latrans	mammals	carnivora	secondary consumers vertebrate flesh eaters	14000	"46, 93, 252"	0.296	"98, 122, 202,482, 664"
Canis lupus	mammals	carnivora	secondary consumers vertebrate flesh eaters	5600	"46, 93, 260 46, 93, 260"	0.02	"202, 230, 234, 335, 509, 710"
Canis simensis	mammals	carnivora	secondary consumers vertebrate flesh eaters	10000	276	2	469
Crocuta crocuta	mammals	carnivora	secondary consumers vertebrate flesh eaters	65000	"160, 276"	0.506	"160, 588, 687,698"
Cryptoprocta ferox	mammals	carnivora	secondary consumers vertebrate flesh eaters	9500	11	1	11
Cuon alpinus	mammals	carnivora	secondary consumers vertebrate flesh eaters	16000	"46, 305"	0.625	330
Dusicyon thous	mammals	carnivora	secondary consumers vertebrate flesh eaters	6500	70	4	183
Eira barbara	mammals	carnivora	secondary consumers vertebrate flesh eaters	5000	539	2	183
Felis concolor	mammals	carnivora	secondary consumers vertebrate flesh eaters	59500	"93, 267, 665"	0.02	"267, 306, 371"
Felis onca	mammals	carnivora	secondary consumers vertebrate flesh eaters	85500	"93, 260"	0.01	372
Felis pardalis	mammals	carnivora	secondary consumers vertebrate flesh eaters	13600	"93, 182"	0.25	183
Felis sylvestris	mammals	carnivora	secondary consumers vertebrate flesh eaters	4380	"267, 276, 579"	0.414	"545, 592, 687"
Felis yagouaroundi	mammals	carnivora	secondary consumers vertebrate flesh eaters	7480	93	0.73	183
Fossa fossana	mammals	carnivora	secondary consumers vertebrate flesh eaters	1800	11	3.85	11
Galictis vittata	mammals	carnivora	secondary consumers vertebrate flesh eaters	4800	183	2.4	183
Galidia elegans	mammals	carnivora	secondary consumers vertebrate flesh eaters	820	11	6	11
Genetta genetta	mammals	carnivora	secondary consumers vertebrate flesh eaters	1780	276	2.13	"545, 687"
Herpestes sanguineus	mammals	carnivora	secondary consumers vertebrate flesh eaters	525	"276, 573, 579,617"	1.5	573
Ichneumia albicauda	mammals	carnivora	secondary consumers vertebrate flesh eaters	3700	"276, 579"	1.93	687
Lutra perspillata	mammals	carnivora	secondary consumers vertebrate flesh eaters	5000	294	5	294
Lycaon pictus	mammals	carnivora	secondary consumers vertebrate flesh eaters	20700	"46, 276, 568"	0.022	588
Lynx canadensis	mammals	carnivora	secondary consumers vertebrate flesh eaters	10200	93	0.13	510
Lynx lynx	mammals	carnivora	secondary consumers vertebrate flesh eaters	28600	267	0.043	"202, 267, 320"
Martes americana	mammals	carnivora	secondary consumers vertebrate flesh eaters	883	93	1.2	623
Martes pennanti	mammals	carnivora	secondary consumers vertebrate flesh eaters	3250	"547, 548"	0.235	"547, 548"
Mungotictis decemlineata	mammals	carnivora	secondary consumers vertebrate flesh eaters	670	"11, 12"	8.2	"11, 12"
Mustela erminea	mammals	carnivora	secondary consumers vertebrate flesh eaters	78.9	608	10.53	608
Mustela nivalis	mammals	carnivora	secondary consumers vertebrate flesh eaters	80	"197, 356"	36	"197, 257, 356,"
Panthera pardus	mammals	carnivora	secondary consumers vertebrate flesh eaters	11400	"160, 177, 568,743"	0.21	"160, 177, 293,465"
Panthera ligris	mammals	carnivora	secondary consumers vertebrate flesh eaters	130000	"267, 294, 305"	0.056	"63, 294, 465"
Panthera uncia	mammals	carnivora	secondary consumers vertebrate flesh eaters	71700	267	0.012	321
Taxidea taxus	mammals	carnivora	secondary consumers vertebrate flesh eaters	8620	93	2.2	"450, 480"
Ursus maritimus	mammals	carnivora	secondary consumers vertebrate flesh eaters	386000	93	0.0162	388
Vulpes oulpes	mammals	carnivora	secondary consumers vertebrate flesh eaters	5440	"93, 411"	1.6	411
Canis mesomelas	mammals	carnivora	diet unknown	8160	"276, 579 276, 579"	2.26	"153, 588, 687"
Potos flavus	mammals	carnivora	diet unknown	2490	"110, 182"	14.4	"110, 183"
Procyon lotor	mammals	carnivora	diet unknown	10700	93	3.4	"202, 231"
Procyon cancrivorus	mammals	carnivora	diet unknown	7050	183	7.1	183
Ursus americanus	mammals	carnivora	diet unknown	153000	93	0.818	"44, 135, 196, 334, 344, 395,409, 420, 718"
Ursus arctos	mammals	carnivora	diet unknown	233000	"93, 362"	0.129	"44, 362, 438, 514"
Didelphis marsupialis	mammals	marsupialia	diet unknown	1070	"110, 182, 269,"	69	"110, 182, 183,"
Desmognathus fuscus	amphibia	NA	NA	1.56	94	34800	94
Eurycea bislineata	amphibia	NA	NA	0.12	94	657000	94
Gyrinophilus porphyriticus	amphibia	NA	NA	4.4	94	27500	94
Plethodon cinereus	amphibia	NA	NA	0.63	94	28900	94
Agama agama	reptilian	NA	NA	16	696	4820	696
Agama rupelli	reptilian	NA	NA	35.2	696	400	696
Ameiva quadrilineata	reptilian	NA	NA	58.4	745	3100	30
Anolis angusticeps	reptilian	NA	NA	2.76	745	98300	596
Anolis bonairensis	reptilian	NA	NA	3.15	49	131800	49
Anolis carolinensis	reptilian	NA	NA	9.44	629	400	596
Anolis distichus	reptilian	NA	NA	1.93	596	95700	596
Anolis sagrei	reptilian	NA	NA	6.53	629	391000	596
Bassiliscus vittatus	reptilian	NA	NA	182	745	750	30
Cnemidophorus murinus	reptilian	NA	NA	27.7	49	55600	49
Eremias spekei	reptilian	NA	NA	2.3	696	21000	696
Eumeces fasciatus	reptilian	NA	NA	6.05	662	18500	662
Gonatodes antillensis	reptilian	NA	NA	0.843	49	420000	49
Hemidactylus brookit	reptilian	NA	NA	4.1	696	3000	696
Holodactylus sp.	reptilian	NA	NA	5.7	696	1200	696
Latastia longicauda	reptilian	NA	NA	13.3	696	467	696
Lgodaclylus picturatus	reptilian	NA	NA	3.22	696	3580	696
Mabuya brevicollis	reptilian	NA	NA	34	696	700	696
Mabuya buettneri	reptilian	NA	NA	129	745	1528	29
Mabuya maculilabris	reptilian	NA	NA	58.4	745	891	29
Mabuya quinquetaeniata	reptilian	NA	NA	26.6	696	200	696
Pachydactylus tuberculosus	reptilian	NA	NA	9.75	696	2133	696
Panaspis nimbaensis	reptilian	NA	NA	17.9	745	272	29
Riopa sundevalli	reptilian	NA	NA	10.8	696	1200	696
Sceloporus olivaceus	reptilian	NA	NA	25	732	3090	662
Uromastix acanthinurus	reptilian	NA	NA	2170	262	181	262
Uta stansburiana	reptilian	NA	NA	1.96	662	13600	662
Varanus exanthematicus	reptilian	NA	NA	1500	696	26.7	696
Varanus komodoensis	reptilian	NA	NA	12000	629	2	30
Varanus niloticus	reptilian	NA	NA	750	696	50	696
Abramis brama	pisces	NA	NA	238	"43, 302"	1400	"43, 302"
Acerina cernua	pisces	NA	NA	9.1	302	234000	302
Acerina schratser	pisces	NA	NA	11	302	450	302
Alburnus alburnus	pisces	NA	NA	1.95	"302, 441"	6.39E+06	"302, 441"
Aspius aspius	pisces	NA	NA	17	302	14400	302
Barbus barbus	pisces	NA	NA	1100	302	200	302
Blicca bjoerkna	pisces	NA	NA	7.75	302	120000	302
Chaenobryttus coronarius	pisces	NA	NA	51.4	248	10200	248
Chondrostoma nasus	pisces	NA	NA	24	302	21600	302
Cotlus gobio	pisces	NA	NA	5	"137, 432"	1.13E+07	"137, 432"
Cprinus carpio	pisces	NA	NA	175	302	10000	302
Esox lucius	pisces	NA	NA	549	302	1639	302
Gasterosteus aculeatus	pisces	NA	NA	0.5	432	2.50E+06	432
Gobio albipinnatus	pisces	NA	NA	11	302	200	302
Gobio gobio	pisces	NA	NA	2.48	"302, 441"	18100	"302, 44]"
Hippoglossoides platessoides	pisces	NA	NA	200	426	33400	426
Ictalurus natalis	pisces	NA	NA	151	248	3020	248
Ictalurus nebulosus	pisces	NA	NA	300	248	1630	248
Lepomis gibbosus	pisces	NA	NA	29.6	248	1140	248
Lepomis macrochirus	pisces	NA	NA	30	248	355000	248
Lepomis microlophus	pisces	NA	NA	48.7	248	20500	248
Leuciscus cephalus	pisces	NA	NA	54.5	302	200	302
Leuciscus idus	pisces	NA	NA	74.7	302	41100	302
Leuciscus leuciscus	pisces	NA	NA	2.17	"302, 441"	33000	"302, 441"
Micropterus dolomieui	pisces	NA	NA	130	508	12500	508
Nemacheilus barbatula	pisces	NA	NA	11	432	400000	432
Nolemigonus crysoleucas	pisces	NA	NA	0.7	105	9200	105
Perca flavescens	pisces	NA	NA	1.57	105	524000	105
Perca fluviatalis	pisces	NA	NA	34.6	302	62000	302
Phoxinus phoxinus	pisces	NA	NA	2.5	432	1.80E+06	432
Pimephales promelas	pisces	NA	NA	0.289	105	523000	105
Pomoxis negromaculalus	pisces	NA	NA	105	248	16900	248
Rutilus rutilus	pisces	NA	NA	9.46	"43, 302, 441"	586000	"43, 302, 441"
Salmo gairdnerii	pisces	NA	NA	239	302	58500	302
Salmo salar	pisces	NA	NA	41	432	400000	432
Salmo trutta	pisces	NA	NA	19	"138, 302, 432,746"	193000	"138, 302, 432,746"
Salvelinus fontinalis	pisces	NA	NA	7.22	"105, 585"	13600	"105, 585"
Scardinius erythropthalamus	pisces	NA	NA	51.6	302	3830	302
Semolilus atromaculatus	pisces	NA	NA	0.766	105	23900	105
Semotilus margarita	pisces	NA	NA	0.922	105	14300	105
Stizostedion lucioperca	pisces	NA	NA	379	302	279	302
Stizostedion vitreum	pisces	NA	NA	335	684	1880	684
Tinca tinca	pisces	NA	NA	525	302	300	302
Timba vimba	pisces	NA	NA	76.6	302	2800	302
Anomma nigricans	terrestrial arthropods	NA	NA	0.00917	405	3.49E+07	405
Armadillidium vulgare	terrestrial arthropods	NA	NA	0.024	583	4.30E+08	583
Bootettix punctatus	terrestrial arthropods	NA	NA	0.086	460	42560	460
Camponotus acvapimensis	terrestrial arthropods	NA	NA	0.005	405	2.20E+08	405
Carabodes minusculus	terrestrial arthropods	NA	NA	0.0000284	59	9.70E+09	59
Chamobates schiitzi	terrestrial arthropods	NA	NA	0.0000083	59	4.20E+09	59
Leptopterna dolabrata	terrestrial arthropods	NA	NA	0.0183	428	2.29E+06	428
Ligidium hypnorum	terrestrial arthropods	NA	NA	0.0069	627	1.30E+08	627
Nanhermannia nana	terrestrial arthropods	NA	NA	0.0000172	59	1.59E+09	59
Narceus americanus	terrestrial arthropods	NA	NA	2.5	564	2.90E+05	564
Neophilaenus lineatus	terrestrial arthropods	NA	NA	0.00254	297	2.94E+07	297
Olodiscus minima	terrestrial arthropods	NA	NA	0.0000156	59	2.10E+09	59
Orchelimum fidicinium	terrestrial arthropods	NA	NA	0.156	613	2.21E+07	613
Philoscia muscorum	terrestrial arthropods	NA	NA	0.00241	"641, 644"	2.12E+08	"641, 644"
Platynothrus peltifer	terrestrial arthropods	NA	NA	0.000056	59	1.30E+09	59
Pogonomyrmex badius	terrestrial arthropods	NA	NA	0.0066	"72, 258"	1.16E+07	"72, 258"
Porcellio scaber	terrestrial arthropods	NA	NA	0.009	583	7.00E+07	583
Tetramorium caespitum	terrestrial arthropods	NA	NA	0.000603	73	4.87E+09	73
Trichoniscus pusillus	terrestrial arthropods	NA	NA	0.000664	"530, 644"	8.11E+08	"530, 644"
Tracheoniscus rathkei	terrestrial arthropods	NA	NA	0.021	564	1.61E+07	564
Trimerotopsis saxatalis	terrestrial arthropods	NA	NA	0.144	163	201250	163
Acanthinula aculeata	other terrestrial invertebrates	NA	NA	0.00943	439	7.15E+07	439
Agriolimax laevis	other terrestrial invertebrates	NA	NA	0.0737	328	380000	328
Agriolimax reticulatus	other terrestrial invertebrates	NA	NA	2.07	328	1.29E+06	328
Allolobophora caliginosa	other terrestrial invertebrates	NA	NA	0.218	531	5.39E+07	531
Allolobophora chlorotica	other terrestrial invertebrates	NA	NA	0.153	531	2.97E+06	531
Allolobophora longa	other terrestrial invertebrates	NA	NA	1.18	531	3.58E+06	531
Allolobophora muldali	other terrestrial invertebrates	NA	NA	0.0155	531	1.24E+07	531
Allolobophora rosea	other terrestrial invertebrates	NA	NA	0.116	531	3.44E+07	531
Arianta arbustorum	other terrestrial invertebrates	NA	NA	0.554	439	4.40E+06	439
Arion ater	other terrestrial invertebrates	NA	NA	1.25	328	1.21E+06	328
Arion fasciatus	other terrestrial invertebrates	NA	NA	0.158	328	6.13E+06	328
Arion hortensis	other terrestrial invertebrates	NA	NA	0.155	328	5.88E+06	328
Arion intermedius	other terrestrial invertebrates	NA	NA	0.0638	328	1.90E+07	328
Arion subfuscus	other terrestrial invertebrates	NA	NA	0.272	328	790000	328
Carychium tridentatum	other terrestrial invertebrates	NA	NA	0.0002	439	1.20E+08	439
Cepaea nemoralis	other terrestrial invertebrates	NA	NA	0.15	704	4.03E+06	704
Clausilia bidentata	other terrestrial invertebrates	NA	NA	0.00947	439	450000	439
Cochlicopa lubrica	other terrestrial invertebrates	NA	NA	0.00383	439	900000	439
Columella edentula	other terrestrial invertebrates	NA	NA	0.000837	439	3.37E+06	439
Dendrobaena mammalis	other terrestrial invertebrates	NA	NA	0.0282	531	2.54E+07	531
Dendrobaena rubida	other terrestrial invertebrates	NA	NA	0.0529	531	2.31E+06	531
Discus rotundatus	other terrestrial invertebrates	NA	NA	0.00519	439	1.35E+07	439
Ena obscura	other terrestrial invertebrates	NA	NA	0.0184	439	3.82E+06	439
Euconulus fulvus	other terrestrial invertebrates	NA	NA	0.00166	439	1.57E+06	439
Hygromia hispida	other terrestrial invertebrates	NA	NA	0.00112	439	670000	439
Hygromia striolata	other terrestrial invertebrates	NA	NA	0.0281	439	8.54E+06	439
Lehmannia marginata	other terrestrial invertebrates	NA	NA	0.544	328	250000	328
Lumbricus castaneus	other terrestrial invertebrates	NA	NA	0.0585	531	1.36E+07	531
Lumbricus lerrestris	other terrestrial invertebrates	NA	NA	1.86	53|	9.09E+06	531
Marpessa laminata	other terrestrial invertebrates	NA	NA	0.0045	439	1.80E+06	439
Millsonia anomala	other terrestrial invertebrates	NA	NA	0.944	391	1.80E+06	391
Octolasion cyaneum	other terrestrial invertebrates	NA	NA	0.606	531	7.51E+06	531
Punctum pygmaeum	other terrestrial invertebrates	NA	NA	0.000186	439	6.72E+07	439
Pupilla muscorum	other terrestrial invertebrates	NA	NA	0.000314	439	670000	439
Retinella nitidula	other terrestrial invertebrates	NA	NA	0.00488	439	7.86E+06	439
Retinella pura	other terrestrial invertebrates	NA	NA	0.00123	439	2.47E+07	439
Retinella radiatula	other terrestrial invertebrates	NA	NA	0.0024	439	450000	439
Vallonia pulchella	other terrestrial invertebrates	NA	NA	0.00112	439	670000	439
Vitrea contract	other terrestrial invertebrates	NA	NA	0.000717	439	3.91E+07	439
Vitrea pellucida	other terrestrial invertebrates	NA	NA	0.00275	439	1.57E+06	439
Alona quadrangularis	aquatic invertebrates	NA	NA	4.78E-06	264	9.27E+09	264
Ampelisca brevicornis	aquatic invertebrates	NA	NA	0.0126	364	9.15E+07	364
Anatopynia goetghebueri	aquatic invertebrates	NA	NA	0.0000476	264	8.93E+09	264
Anodonta anatina	aquatic invertebrates	NA	NA	5.53	481	1.17E+07	481
Anodonta minima	aquatic invertebrates	NA	NA	5.39	481	388000	481
Anodonta piscinalis	aquatic invertebrates	NA	NA	6.47	668	1.49E+06	668
Asellus aquaticus	aquatic invertebrates	NA	NA	0.000939	"331, 430"	2.19E+07	"331, 430"
Arthripsodes ancylus	aquatic invertebrates	NA	NA	0.0005	561	6.00E+06	561
Baetis thodani	aquatic invertebrates	NA	NA	0.00216	722	2.90E+08	722
Baetis vagans	aquatic invertebrates	NA	NA	0.000486	688	2.68E+09	688
Bithynia tentaculata	aquatic invertebrates	NA	NA	0.0255	"331, 443"	1.84E+07	"331, 443"
Calospecta dives	aquatic invertebrates	NA	NA	0.00198	564	2.66E+10	564
Chaoborus flavicans	aquatic invertebrates	NA	NA	0.00446	331	1.75E+09	331
Chironomus anthracinus	aquatic invertebrates	NA	NA	0.00722	331	8.95E+09	331
Chironomus longistylus	aquatic invertebrates	NA	NA	0.000166	264	2.44E+08	264
Chironomus plumosus	aquatic invertebrates	NA	NA	0.00455	"430, 542"	1.07E+08	"430, 542"
Cladotanylarsus mancus	aquatic invertebrates	NA	NA	0.000128	542	9.40E+08	542
Corixa germari	aquatic invertebrates	NA	NA	0.0222	137	1.91E+09	137
Crangonyx richmondensis	aquatic invertebrates	NA	NA	0.000715	442	2.83E+08	442
Cryplochironomus supplicans	aquatic invertebrates	NA	NA	0.000301	430	4.28E+08	430
Cypria opthalmica	aquatic invertebrates	NA	NA	5.56E-06	264	1.71E+10	264
Daphnia cucullata	aquatic invertebrates	NA	NA	6.52E-06	322	1.19E+10	322
Daphnia hyalina	aquatic invertebrates	NA	NA	6.52E-06	322	2.27E+10	322
Ephemerella subvarica	aquatic invertebrates	NA	NA	0.0021	690	3.06E+09	690
Erpobdella octoculata	aquatic invertebrates	NA	NA	0.00423	"188, 430"	1.17E+08	"188, 430"
Eurycercus lamellatus	aquatic invertebrates	NA	NA	0.0000119	"24, 331"	1.05E+08	"24, 331"
Ferrissia rivularis	aquatic invertebrates	NA	NA	0.00229	92	7.03E+08	92
Gammarus ligrinus	aquatic invertebrates	NA	NA	0.00424	43	3.40E+09	43
Glyptotendipes glaucus	aquatic invertebrates	NA	NA	0.000112	264	1.87E+09	264
Glvptotendipes paripes	aquatic invertebrates	NA	NA	0.0021	"430, 542"	2.17E+09	"430, 542"
