species	phylum	habitat	mating_system	range_cat	sexual_system	abbrv	neut_model_conf	genome_species	self_est	maplen_data_source	diversity_data_source	site_type	hcn	num_markers	parpath	pred_pi	impact_of_sel	log10_size	log10_range	num_chr	totalMb_covered	ave_rec	assembly_size	selfing	map_length	genome_size	fecundity	propagule	bodymass_g	diversity	size	log10_diversity	social	species_orig	is_terrestrial	n_occ	range	id	kingdom	superphylum	subphylum	class	order	family	genus	clean_name	redlist_cat	log10_body_mass	log10_body_mass_pred	log10_popsize	log10_density	log10_density_pred	pred_log10_body_mass	pred_log10_density	pred_log10_N	RS	log10_RS	log10_map_length	species_lower
Amphimedon queenslandica	Porifera	Marine	Partial selfing	Broad endemic	NA	NA	NA	NA	NA	NA	Leffler et al.	NA	NA	NA	FALSE	NA	NA	-0.8239087409443188	3.4791356106665914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.023700000000000002	0.15	-1.625251653989896	FALSE	Amphimedon queenslandica	FALSE	30000	3013.946997585753	659484	Animalia	NA	NA	Demospongiae	Haplosclerida	Niphatidae	Amphimedon	Amphimedon queenslandica	NA	1.8637600431918573	1.8649380285952835	6.00701557277262	2.5278799621060286	2.5228362688401806	1.863587137012841	2.528143548333885	6.007279159000476	20092.97998390502	4.30304435161091	NA	amphimedon queenslandica
Anas platyrhynchos	Chordata	NA	NA	NA	gonochorous	NA	NA	NA	NA	Stapley et al.	NA	NA	40	260	FALSE	NA	NA	-0.23343844736246902	7.268579395490119	NA	NA	NA	NA	NA	17.66	1.37572	NA	NA	NA	NA	0.5842	NA	FALSE	Anas platyrhynchos	TRUE	30000	18560060.839350823	175063	Animalia	NA	Vertebrata	Aves	Anseriformes	Anatidae	Anas	Anas platyrhynchos	LC	3.7518079978853	3.7504946754357475	8.368442959318928	1.0998635638288095	1.106796864505125	3.7531892190164893	1.0989057193223792	8.367485114812498	31770045.94205892	7.502017842852588	1.2469906992415498	anas platyrhynchos
Anguilla japonica	Chordata	NA	NA	NA	gonochorous	NA	NA	NA	NA	Stapley et al.	NA	NA	19	2787	FALSE	NA	NA	-0.3979400086720376	7.002937869690969	NA	NA	NA	NA	NA	14.365	1.15114	NA	NA	NA	NA	0.4	NA	FALSE	Anguilla japonica	FALSE	5533	10067876.271851877	161134	Animalia	NA	Vertebrata	Teleostei	Anguilliformes	Anguillidae	Anguilla	Anguilla japonica	EN	3.225808909107507	3.2242015255280845	8.500638428277426	1.4977005585864576	1.5020776506436435	3.226757159483382	1.4970829975202031	8.500020867211171	25169690.67962969	7.400877878363007	1.1573056303279663	anguilla japonica
Anopheles arabiensis	Arthropoda	Terrestrial	Obligatory outcrossing	Broad endemic	NA	NA	NA	NA	NA	NA	Leffler et al.	NA	NA	NA	FALSE	NA	NA	-2.530177984021837	7.007071312683206	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.022000000000000002	0.00295	-1.6575773191777938	FALSE	Anopheles arabiensis	TRUE	2532	10164155.78185777	125956	Animalia	Ecdysozoa	Hexapoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles arabiensis	NA	-3.5920913172665956	-3.5888592368409387	13.661459391243701	6.654388078560495	6.653942367702703	-3.596755151538108	6.658181206777368	13.665252519460575	3445476536.222973	9.537249296705044	NA	anopheles arabiensis
Anopheles baimaii	Arthropoda	Terrestrial	Obligatory outcrossing	Broad endemic	NA	NA	NA	NA	NA	NA	Leffler et al.	NA	NA	NA	FALSE	NA	NA	NA	4.643097704787886	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00541	NA	-2.2668027348934308	FALSE	Anopheles baimaii	TRUE	210	43964.05118162883	125956	Animalia	Ecdysozoa	Hexapoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles baimaii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	anopheles baimaii
Anopheles cruzii	Arthropoda	Terrestrial	Obligatory outcrossing	Broad endemic	NA	NA	NA	NA	NA	NA	Leffler et al.	NA	NA	NA	FALSE	NA	NA	NA	4.072475292633769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01439	NA	-1.8419392060633948	FALSE	Anopheles cruzii	TRUE	574	11816.130877031494	126068	Animalia	Ecdysozoa	Hexapoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles cruzii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	anopheles cruzii
Anopheles dirus	Arthropoda	Terrestrial	Obligatory outcrossing	Broad endemic	NA	NA	NA	NA	NA	NA	Leffler et al.	NA	NA	NA	FALSE	NA	NA	NA	5.959314803937659	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.009715	NA	-2.0125571950641987	FALSE	Anopheles dirus	TRUE	584	910573.0740678933	125956	Animalia	Ecdysozoa	Hexapoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles dirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	anopheles dirus
Anopheles funestus	Arthropoda	NA	NA	NA	gonochorous	NA	NA	NA	NA	Stapley et al.	NA	NA	3	53	FALSE	NA	NA	-2.5228787452803374	5.680894704346675	NA	NA	NA	NA	NA	1.45	0.225224	NA	NA	NA	NA	0.003	NA	FALSE	Anopheles funestus	TRUE	2517	479617.1503047994	125956	Animalia	Ecdysozoa	Hexapoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles funestus	NA	-3.568751764156974	-3.566508963679295	12.31763001911685	6.636735314770174	6.621764415865168	-3.5733963867147125	6.640513343980995	12.32140804832767	159872383.43493313	8.203773449627013	0.16136800223497488	anopheles funestus
Anopheles gambiae	Arthropoda	Terrestrial	Obligatory outcrossing	Broad endemic	NA	agam	low	Anopheles gambiae	NA	Corbett-Detig et al.	Leffler et al.	NA	NA	NA	FALSE	0.0336432942606259	0.103883765047103	-2.532391894416367	7.1107912614065905	2	38	0.8365315430007131	265011681	0	1.661	0.27	NA	NA	NA	0.02947415109212225	0.002935	-1.530558694504838	FALSE	Anopheles gambiae	TRUE	12882	12905988.132024955	125987	Animalia	Ecdysozoa	Hexapoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles gambiae	NA	-3.5991703677077456	-3.593855732271894	13.77053354725248	6.65974228584589	6.648392633160147	-3.603840029027026	6.663539993697382	13.774331255103972	4397270232.376475	9.643183155822957	0.2203696324513945	anopheles gambiae
Anopheles melas	Arthropoda	Terrestrial	Obligatory outcrossing	Broad endemic	NA	NA	NA	NA	NA	NA	Leffler et al.	NA	NA	NA	FALSE	NA	NA	NA	5.872900539119196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005699999999999999	NA	-2.2441251443275085	FALSE	Anopheles melas	TRUE	277	746277.8284228529	125989	Animalia	Ecdysozoa	Hexapoda	Insecta	Diptera	Culicidae	Anopheles	Anopheles melas	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	anopheles melas
