species	bodymass_g	bodymass_notes	bodymass_source	size_cm	bodysize_notes	bodysize_source	fecundity	fecundity_notes	fecundity_source	longevity_years	longevity_notes	longevity_source	propagule_size_cm	propagule_notes	propagule_source	mass	size	propagule	log10_size	log10_mass	log10_propagule	common_name	family	order	class	phylum	number_of_inds	contigs_number	average_length_of_contigs	SNP_number	piS	piN	piNpiS	fit	invasive_status	maximal_geoographic_distance	mean_geographic_distance	mean_distance_from_equator	genus
Abatus agassizi	9.28	NA	2	2.45	NA	1	0.299	A. cordatus	86	NA	NA	NA	0.2	A. cordatus	86	0.00928	0.0245	0.002	-1.6108339156354674	-2.032452023781138	-2.6989700043360187	heart urchin	Schizasteridae	Spatangoida	Echnoidea	Echinodermata	2	2614	167	7604	0.00727197	0.00212556	0.292295	-0.268249	0	2637465.29479939	938125.587329787	61.2774529565217	Abatus
Abatus cordatus	9.28	NA	2	2.77	NA	2	0.299	NA	86	NA	NA	NA	0.2	NA	86	0.00928	0.0277	0.002	-1.5575202309355514	-2.032452023781138	-2.6989700043360187	heart urchin	Schizasteridae	Spatangoida	Echnoidea	Echinodermata	8	1470	100	2989	0.00282628	8.29958e-4	0.293658	-0.0257053	0	874677.426492342	244883.914255201	49.9180025714286	Abatus
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	9445	133	87036	0.0417953	0.00429348	0.102726	-0.108575	0	13968483.5487737	735993.25553094	51.8306171861668	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	5852	135	47357	0.0378199	0.0033035	0.0873484	0.0126396	0	13968483.5487737	736144.329460593	51.8340574959922	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	8	20222	50	230609	0.0553005	0.00513112	0.0927863	0.437587	0	13968483.5487737	738650.738786427	51.8213801018674	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	9445	133	87036	0.0417953	0.00429348	0.102726	-0.108575	0	13968483.5487737	735993.25553094	51.8306171861668	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	5852	135	47357	0.0378199	0.0033035	0.0873484	0.0126396	0	13968483.5487737	736144.329460593	51.8340574959922	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	8	20222	50	230609	0.0553005	0.00513112	0.0927863	0.437587	0	13968483.5487737	738650.738786427	51.8213801018674	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	9445	133	87036	0.0417953	0.00429348	0.102726	-0.108575	0	13968483.5487737	735993.25553094	51.8306171861668	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	5852	135	47357	0.0378199	0.0033035	0.0873484	0.0126396	0	13968483.5487737	736144.329460593	51.8340574959922	Allolobophora
Allolobophora chlorotica	0.3	NA	48	5.5	NA	3	0.74	NA	69	1.25	NA	69	0.0238	NA	6987	3e-4	0.055	2.38e-4	-1.2596373105057561	-3.5228787452803374	-3.623423042943488	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	8	20222	50	230609	0.0553005	0.00513112	0.0927863	0.437587	0	13968483.5487737	738650.738786427	51.8213801018674	Allolobophora
Aporrectodea icterica	0.95	NA	49	9.5	NA	4	2.67	NA	108	NA	NA	NA	0.0411	Estimated from the ratio adult/propagule size of A. chlorotica	6987	9.5e-4	0.095	4.1099999999999996e-4	-1.0222763947111522	-3.0222763947111524	-3.3861581781239307	earthworm	Lumbricidae	Haplotaxida	"NA"	Annelida	2	3281	138	21954	0.0265455	0.00397339	0.149683	0.0395112	0	1358763.96128087	523466.605931041	51.4743171351351	Aporrectodea
Aptenodytes patagonicus	11800	NA	5	90	NA	5	0.0027	NA	5	41	NA	70	90	As adult size	5	11.8	0.9	0.9	-0.045757490560675115	1.0718820073061255	-0.045757490560675115	king penguin	Spheniscidae	Sphenisciformes	Aves	Chordata	10	2299	96	5840	0.00263499	4.56911e-4	0.173402	-0.0153924	0	9216300.81308897	1159946.38792706	52.8009523018084	Aptenodytes
Armadillidium nasatum	0.04	NA	50	1.8	NA	6	0.959	A. vulgare	109110	3.42	NA	71	0.12	A. vulgare	88	4e-5	0.018000000000000002	0.0012	-1.744727494896694	-4.3979400086720375	-2.9208187539523753	pill woodlouse	Armadillidiidae	Isopoda	Malacostraca	Arthropoda	2	5515	193	33749	0.0185015	0.00233782	0.126358	-0.0534897	0	15895001.6737585	544299.637760375	50.9896691552215	Armadillidium
Armadillidium vulgare	0.04	NA	50	1.8	NA	6	0.959	NA	109110	3.42	NA	71	0.12	NA	88	4e-5	0.018000000000000002	0.0012	-1.744727494896694	-4.3979400086720375	-2.9208187539523753	pill woodlouse	Armadillidiidae	Isopoda	Malacostraca	Arthropoda	10	10745	108	119157	0.0187064	0.00193442	0.103409	0.247406	0	19668742.7082154	878551.137131015	50.7398641616533	Armadillidium
Artemia franciscana	0.004	Estimated (dry to wet weight)	5147	1	NA	7	40	NA	111	4	NA	72	0.051	NA	89	4e-6	0.01	5.099999999999999e-4	-2	-5.3979400086720375	-3.2924298239020637	brine shrimp	Artemiidae	Anostraca	Branchiopoda	Arthropoda	10	8256	74	38951	0.01072	0.00132105	0.123232	0.435482	1	11372488.481114	4662503.97711813	19.11626	Artemia
Artemia salina	0.004	Estimated (dry to wet weight)	5147	1	NA	7	40	NA	111	4	A. franciscana	72	0.051	NA	89	4e-6	0.01	5.099999999999999e-4	-2	-5.3979400086720375	-3.2924298239020637	brine shrimp	Artemiidae	Anostraca	Branchiopoda	Arthropoda	2	10239	152	17335	0.0059074	0.00103201	0.174699	0.52476	0	15862258.4133176	6039055.69633568	31.6343283809524	Artemia
Artemia sinica	0.004	Estimated (dry to wet weight)	5147	1	NA	7	40	NA	111	4	A. franciscana	72	0.051	NA	89	4e-6	0.01	5.099999999999999e-4	-2	-5.3979400086720375	-3.2924298239020637	brine shrimp	Artemiidae	Anostraca	Branchiopoda	Arthropoda	2	8865	143	13527	0.00492781	0.00108834	0.220858	-0.0648536	0	0	0	35.026412	Artemia
Artemia tibetana	0.004	Estimated (dry to wet weight)	5147	1	NA	7	40	NA	111	4	A. franciscana	72	0.051	NA	89	4e-6	0.01	5.099999999999999e-4	-2	-5.3979400086720375	-3.2924298239020637	brine shrimp	Artemiidae	Anostraca	Branchiopoda	Arthropoda	2	9018	141	14589	0.00535856	0.0011456700000000001	0.213801	-0.0619925	0	0	0	32.05	Artemia
Bostrycapulus aculeatus	NA	NA	NA	2.5	NA	8	NA	NA	NA	NA	NA	NA	0.084	NA	90	NA	0.025	8.4e-4	-1.6020599913279623	NA	-3.0757207139381184	spiny slipper snail	Calyptraeidae	"NA"	Gastropoda	Mollusca	2	3025	137	53288	0.0834581	0.00687903	0.082425	0.430603	0	18351069.7205869	5402366.34902977	27.940921644	Bostrycapulus
Caenorhabditis brenneri	5.12e-6	Estimated from length and diameter	952	0.15	NA	9	77.8	C. elegans	112	0.16	C. elegans	53	0.0052	NA	9	5.1200000000000005e-9	0.0015	5.2e-5	-2.8239087409443187	-8.290730039024169	-4.2839966563652006	soil roundworm	Rhabditidae	Rhabditida	Chromadorea	Nematoda	10	972	65	10574	0.032215	0.0012752	0.039584	0.159726	0	18548390.6369338	8512714.22935753	5.12451260833333	Caenorhabditis
Caenorhabditis sp.10	5.12e-6	Estimated from length and diameter	952	0.15	NA	9	77.8	C. elegans	112	0.16	C. elegans	53	0.0052	C. brenneri	9	5.1200000000000005e-9	0.0015	5.2e-5	-2.8239087409443187	-8.290730039024169	-4.2839966563652006	soil roundworm	Rhabditidae	Rhabditida	Chromadorea	Nematoda	2	1821	89	11329	0.049318	0.00252804	0.0512601	-0.15632	0	35133.4914586972	17566.7457293486	9.5702026	Caenorhabditis
Callithrix jacchus	255	NA	53	13.5	NA	10	0.011	NA	53	22.8	NA	53	9.42	NA	53	0.255	0.135	0.0942	-0.8696662315049939	-0.5934598195660449	-1.0259490972071226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Callithrix
Camponotus aethiops	NA	NA	NA	1.4	Measured (queen)	NA	0.266	Pogonomyrmex barbatus	113	26	C. fellah	73	1.4	As adult size	NA	NA	0.013999999999999999	0.013999999999999999	-1.853871964321762	NA	-1.853871964321762	carpenter ant	Formicidae	Hymenoptera	Insecta	Arthropoda	2	7064	257	12524	0.00332756	7.63558e-4	0.229465	-0.258939	0	505854.373823627	252927.186911814	44.54369585	Camponotus
Camponotus ligniperdus	NA	NA	NA	1.9	Measured (queen)	NA	0.266	Pogonomyrmex barbatus	113	26	C. fellah	73	1.9	As adult size	NA	NA	0.019	0.019	-1.7212463990471711	NA	-1.7212463990471711	carpenter ant	Formicidae	Hymenoptera	Insecta	Arthropoda	4	5333	173	4462	0.00164517	4.11326e-4	0.250021	-0.2279	0	2110292.07949836	744254.362893909	55.7438202531915	Camponotus
Carcinus aestuarii	8.05	NA	11	2.79	NA	11	348	NA	11	7	C. maenas	74	0.136	C. maenas	91	0.00805	0.0279	0.00136	-1.5543957967264024	-2.0942041196321317	-2.8664610916297826	European green crab	Carcinidae	Decapoda	Malacostraca	Arthropoda	2	5064	192	14927	0.00871331	0.0011467	0.131604	-0.140233	0	10770703.7269961	2456076.94880781	39.4224012627119	Carcinus
Chelonoidis nigra	175000	NA	12	110	NA	12	0.0274	NA	12	177	NA	53	6.7	NA	92	175	1.1	0.067	0.04139268515822508	2.2430380486862944	-1.1739251972991736	giant Galapagos tortoise	Testudinidae	Testudines	"NA"	Chordata	5	1805	103	1759	0.00163381	6.12667e-4	0.374993	-0.104151	0	16697851.4913511	766530.842276402	0.702208669428571	Chelonoidis
Chlorocebus aethiops	5620	NA	53	50	NA	13	0.0027	NA	53	30.1	NA	53	28.5	NA	53	5.62	0.5	0.285	-0.3010299956639812	0.7497363155690611	-0.5451551399914898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Chlorocebus
Ciona intestinalis	29.7	Estimated (for a 150 mm length)	54	15.5	NA	14	1000	NA	54	3	NA	14	0.016	NA	14	0.0297	0.155	1.6e-4	-0.8096683018297085	-1.5272435506827877	-3.795880017344075	vase tunicate	Cionidae	Enterogona	Ascidiacea	Chordata	10	2722	74	42351	0.0533579	0.00297222	0.0557034	0.109717	1	17758566.4284904	1968638.43795712	53.2383425927054	Ciona
