species	bodymass_g	bodymass_notes	bodymass_source	size_cm	bodysize_notes	bodysize_source	fecundity	fecundity_notes	fecundity_source	longevity_years	longevity_notes	longevity_source	propagule_size_cm	propagule_notes	propagule_source	mass	size	propagule	log10_size	log10_mass	log10_propagule	common_name	family	order	class	phylum	number_of_inds	contigs_number	average_length_of_contigs	SNP_number	piS	piN	piNpiS	fit	invasive_status	maximal_geoographic_distance	mean_geographic_distance	mean_distance_from_equator	genus
Emys orbicularis	977	NA	59	25	NA	18	0.0877	NA	116	120	NA	53	2	NA	18	0.977	0.25	0.02	-0.6020599913279624	-0.010105436281226938	-1.6989700043360187	European pond turtle	Emydidae	Testudines	"NA"	Chordata	10	2029	76	3402	0.00411023	5.53684e-4	0.134709	0.344851	0	10565561.616955	981673.90625304	43.0325431143505	Emys
Eudyptes filholi	2500	NA	19	55	NA	19	0.0055	NA	19	29	NA	19	55	As adult size	19	2.5	0.55	0.55	-0.2596373105057561	0.3979400086720376	-0.2596373105057561	eastern rockhopper penguin	Spheniscidae	Sphenisciformes	Aves	Chordata	4	1497	159	2749	0.00424895	5.37389e-4	0.126476	-0.0291077	0	8184382.8828419	1856885.98937934	54.2044437714286	Eudyptes
Eudyptes moseleyi	2500	NA	19	55	NA	19	0.0055	NA	19	29	NA	19	55	As adult size Estimated from the juvenile size / adult size ratio of Varecia variegata	19	2.5	0.55	0.55	-0.2596373105057561	0.3979400086720376	-0.2596373105057561	northern rockhopper penguin	Spheniscidae	Sphenisciformes	Aves	Chordata	4	1839	146	2331	0.00296217	4.53794e-4	0.153196	-0.0208097	0	18592738.1320884	5204800.0623082	23.9962060076923	Eudyptes
Eulemur coronatus	2500	NA	53	34	NA	20	0.0041	NA	53	27	NA	53	31.4	As adult size Estimated from the juvenile size / adult size ratio of Varecia variegata	53	2.5	0.34	0.314	-0.46852108295774486	0.3979400086720376	-0.5030703519267851	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eulemur
Eulemur mongoz	2060	NA	53	35	NA	21	0.003	NA	53	36.2	NA	53	32.3	NA	53	2.06	0.35	0.32299999999999995	-0.4559319556497244	0.31386722036915343	-0.4907974776688972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Eulemur
Eunicella cavolinii	NA	NA	NA	30	NA	22	33.1	E. verrucosa	117	100	NA	14	0.25	NA	22	NA	0.3	0.0025	-0.5228787452803376	NA	-2.6020599913279625	gorgonian	Gorgoniidae	Alcyonacea	Anthozoa	Cnidaria	8	7170	51	23417	0.01249	0.00160645	0.128618	0.304238	0	2098873.04581293	857730.307891474	40.8247432092556	Eunicella
Eunicella verrucosa	NA	NA	NA	37.5	NA	14	33.1	NA	117	100	NA	14	0.25	NA	95	NA	0.375	0.0025	-0.42596873227228116	NA	-2.6020599913279625	gorgonian	Gorgoniidae	Alcyonacea	Anthozoa	Cnidaria	2	12040	103	31628	0.0146539	0.00185025	0.126263	-0.0109251	0	6093482.16951184	270354.551315249	50.3727724427005	Eunicella
Galago senegalensis	192	NA	53	13	NA	23	0.0082	NA	53	17.1	NA	76	10.5	NA	53	0.192	0.13	0.105	-0.8860566476931632	-0.7166987712964504	-0.978810700930062	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Galago
Halictus scabiosae	0.093	Estimated (dry to wet weight)	4760	1.5	Measured (female)	NA	NA	NA	NA	1	NA	77	1.5	As adult size	NA	9.3e-5	0.015	0.015	-1.8239087409443189	-4.031517051446065	-1.8239087409443189	sweat bee	Halictidae	Hymenoptera	Insecta	Arthropoda	11	3287	99	3779	0.00211062	2.60425e-4	0.123388	0.0275652	0	2754140.37263147	367194.735735161	48.7748134389049	Halictus
Hippocampus guttulatus	4.76	Estimated from size	61	13.3	NA	24	2.47	NA	118	7	NA	61	1.2	NA	61	0.0047599999999999995	0.133	0.012	-0.8761483590329142	-2.322393047279507	-1.9208187539523751	long-snouted seahorse	Syngnathidae	Syngnathiformes	Actinopteri	Chordata	6	9678	109	7099	0.00162526	3.84113e-4	0.236339	0.12962	0	18656046.1526121	2811907.4063277	36.0528109712963	Hippocampus
Hippocampus hippocampus	1.85	Estimated from size	61	10	NA	24	2.47	H. guttulatus	118	7	H. guttulatus	61	1.2	NA	61	0.00185	0.1	0.012	-1	-2.7328282715969863	-1.9208187539523751	short-snouted seahorse	Syngnathidae	Syngnathiformes	Actinopteri	Chordata	2	11697	204	20906	0.00402748	8.61628e-4	0.213937	-0.0534427	0	18998392.336364	2278482.45847911	41.836874451497	Hippocampus
Hippocampus kuda	3.41	Estimated from size	61	12	NA	25	2.47	H. guttulatus	118	7	H. guttulatus	61	0.7	NA	25	0.0034100000000000003	0.12	0.006999999999999999	-0.9208187539523752	-2.4672456210075024	-2.154901959985743	spotted seahorse	Syngnathidae	Syngnathiformes	Actinopteri	Chordata	2	17078	271	14052	0.00118422	4.10586e-4	0.346715	-0.417884	0	18816246.5557847	6599669.11067154	0.0699891457142858	Hippocampus
Homo sapiens	62000	NA	53	163	NA	26	0.0016	NA	53	123	NA	53	93.4	NA	53	62	1.63	0.934	0.21218760440395779	1.792391689498254	-0.029653123769906618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Homo
Leptogorgia sarmentosa	NA	NA	NA	40	NA	27	NA	NA	NA	NA	NA	NA	0.019	NA	27	NA	0.4	1.8999999999999998e-4	-0.3979400086720376	NA	-3.721246399047171	gorgonian	Gorgoniidae	Alcyonacea	Anthozoa	Cnidaria	2	13702	97	45353	0.0207234	0.002104	0.101528	0.0105911	0	16478650.1142486	2908768.19487288	27.3932023037067	Leptogorgia
Lepus granatensis	2440	NA	28	45.9	NA	28	0.0198	NA	119	18	Lepus timidus	53	31.6	NA	96	2.44	0.45899999999999996	0.316	-0.3381873144627388	0.3873898263387294	-0.5003129173815962	Iberian hare	Leporidae	Lagomorpha	Mammalia	Chordata	10	2504	85	4770	0.00397721	5.12409e-4	0.128836	0.022117	0	1107879.64901227	338568.031144583	39.7464607945734	Lepus
Liocarcinus depurator	NA	NA	NA	5.1	NA	29	630	NA	120	4	NA	78	0.129	NA	98	NA	0.051	0.0012900000000000001	-1.2924298239020637	NA	-2.889410289700751	harbour crab	Carcinidae	Decapoda	Malacostraca	Arthropoda	2	5252	186	23379	0.0148552	0.00126285	0.0850111	-0.0504474	0	7269774.49208259	567737.284469484	54.738339159368	Liocarcinus
Liocarcinus depurator	NA	NA	NA	5.1	NA	29	NA	NA	NA	4	NA	78	0.129	NA	98	NA	0.051	0.0012900000000000001	-1.2924298239020637	NA	-2.889410289700751	harbour crab	Carcinidae	Decapoda	Malacostraca	Arthropoda	2	5252	186	23379	0.0148552	0.00126285	0.0850111	-0.0504474	0	7269774.49208259	567737.284469484	54.738339159368	Liocarcinus
