species	phylum	log10_popsize	map_length	social
Phalloceros caudimaculatus	Chordata	10.190132418453521	14.77	FALSE
Poecilia reticulata	Chordata	11.729197475835074	8.99	FALSE
Pogonomyrmex rugosus	Arthropoda	11.98896294100455	28.23	TRUE
Portunus trituberculatus	Arthropoda	9.273990621537811	35.1945	FALSE
Rana temporaria	Chordata	10.026105830384786	16.988	FALSE
Rattus norvegicus	Chordata	9.42701262926084	15.03	FALSE
Rhyzopertha dominica	Arthropoda	13.40598022355902	3.9010000000000002	FALSE
Ruditapes philippinarum	Mollusca	10.685051458947035	19.2698	FALSE
Salmo salar	Chordata	7.977502259411354	59.61	FALSE
Salmo trutta	Chordata	7.933960319541126	14.03	FALSE
Sciaenops ocellatus	Chordata	6.710209245027909	18.153	FALSE
Scleropages formosus	Chordata	6.176928759793108	22.183000000000003	FALSE
Scophthalmus maximus	Chordata	8.035744399267228	26.2209	FALSE
Scylla paramamosain	Arthropoda	9.113782871760405	27.464000000000002	FALSE
Seriola quinqueradiata	Chordata	6.448957442791301	11.28595	FALSE
Sparus aurata	Chordata	8.332833383159429	38.99	FALSE
Sus scrofa	Chordata	7.638779918255618	18.079372729138502	FALSE
Taeniopygia guttata	Chordata	8.400464768937118	14.79	FALSE
Takifugu rubripes	Chordata	7.840112399198832	16.963	FALSE
Tigriopus californicus	Arthropoda	12.053342701066164	4.01	FALSE
Tribolium castaneum	Arthropoda	13.537526156047912	5.71	FALSE
Tribolium confusum	Arthropoda	13.077684388972404	9.68	FALSE
Vespula vulgaris	Arthropoda	12.15208360895367	21.29	TRUE
Xenopus tropicalis	Chordata	9.658838638065307	16.68	FALSE
Xiphophorus maculatus	Chordata	11.193303667143113	13.283	FALSE
