species	phylum	log10_popsize
Nomascus gabriellae/leucogenys	Chordata	6.098744555808129
Nycticebus coucang	Chordata	8.294828788012113
Oncorhynchus tshawytscha	Chordata	7.674842486593666
Ophioderma longicauda	Echinodermata	11.626088744573257
Oryctolagus cuniculus	Chordata	8.655986684437584
Oryzias latipes	Chordata	9.81657073862786
Ostrea chilensis	Mollusca	8.29844794622446
Ostrea edulis	Mollusca	9.791075900740303
Ostreola stentina	Mollusca	7.812617429814434
Ovis canadensis	Chordata	6.721365403440326
Pan paniscus	Chordata	6.261818154215748
Pan troglodytes	Chordata	7.4821358098831325
Papilio dardanus	Arthropoda	10.193851286336653
Papio anubis	Chordata	7.2327069626156755
Parus caeruleus	Chordata	9.635518177496444
Pectinaria koreni	Annelida	11.079617861398855
Peromyscus maniculatus	Chordata	9.789532291871495
Pheidole pallidula	Arthropoda	12.135410593798259
Physa acuta	Mollusca	12.636552933498168
Physa gyrina	Mollusca	11.913792554540459
Pieris rapae	Arthropoda	11.06872123767268
Pongo abelii/pygmaeus	Chordata	5.498743364327649
Propithecus coquereli	Chordata	6.118498901234977
Reticulitermes flavipes	Arthropoda	12.384278353490247
Reticulitermes grassei	Arthropoda	11.34927774076926
Reticulitermes lucifugus	Arthropoda	8.607474224476825
Sepia officinalis	Mollusca	8.947199663333423
Sistrurus catenatus	Chordata	7.576455816046767
Spermophilus parryii	Chordata	8.073630364652248
Strongylocentrotus droebachiensis	Echinodermata	11.114985966018056
Strongylocentrotus pallidus	Echinodermata	10.348200129159512
Strongylocentrotus purpuratus	Echinodermata	9.867014365981781
Sus scrofa	Chordata	7.638779918255618
Symphalangus syndactylus	Chordata	6.776210161748122
Taeniopygia guttata	Chordata	8.400464768937118
Takifugu rubripes	Chordata	7.840112399198832
Thymelicus lineola	Arthropoda	12.134443940748866
Thymelicus sylvestris	Arthropoda	11.79707030050578
Trachemys scripta	Chordata	9.585398810249112
Tripylus abatoides	Echinodermata	10.761541141334346
Tupaia belangeri	Chordata	8.765489690710885
Varecia variegata variegata	Chordata	6.457417308860489
Zonotrichia albicollis	Chordata	9.30140276029663
